cust_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_level,vintage_days,utilization,collection_strategy
38,33,103233,East,Loan,Credit Card,2020-10-17,354888,10,41742,320575,Delinquent,0-30,good,low,2014,1.1070357950557592,Soft
39,61,54102,North,Savings,Auto Loan,2022-09-14,167331,20,40122,396370,Delinquent,0-30,good,low,1317,0.4221585891969624,Soft
40,24,112228,South,Loan,Personal Loan,2018-06-26,508219,10,43910,118874,Delinquent,0-30,good,low,2858,4.275274660564968,Soft
41,63,70556,North,Credit Card,Auto Loan,2020-07-28,609152,0,45185,358846,Current,Current,good,low,2095,1.69753041694766,Soft
42,26,81402,South,Credit Card,Credit Card,2022-05-23,498733,10,37196,335755,Delinquent,0-30,good,low,1431,1.4854075144078271,Soft
43,21,149744,South,Loan,Personal Loan,2017-11-30,222745,10,18120,498384,Delinquent,0-30,good,low,3066,0.44693449227904586,Soft
44,32,69936,South,Credit Card,Personal Loan,2019-01-21,796046,35,14413,192824,Delinquent,30-60,good,medium,2649,4.128355391445048,Soft
45,55,130363,North,Savings,Credit Card,2020-05-14,440628,50,41687,196314,Delinquent,30-60,good,medium,2170,2.2445062501910207,Soft
46,31,195057,South,Credit Card,Personal Loan,2023-02-25,699579,95,47090,187537,Charged-off,90+,bad,High,1153,3.73035187722956,Aggressive
47,43,156241,South,Loan,Credit Card,2018-10-30,496114,95,12151,52714,Charged-off,90+,bad,High,2732,9.4114277042152,Aggressive
48,34,133699,East,Savings,Auto Loan,2024-09-25,39616,0,27267,464786,Current,Current,good,low,575,0.08523492532047007,Soft
49,39,68772,North,Current,Credit Card,2017-07-23,414032,0,45743,369185,Current,Current,good,low,3196,1.1214756829231958,Soft
50,57,34814,South,Savings,Auto Loan,2018-03-25,666568,20,15578,83158,Delinquent,0-30,good,low,2951,8.01568099280887,Soft
51,36,61881,West,Savings,Credit Card,2024-06-28,579257,0,21605,426770,Current,Current,good,low,664,1.3573048714764393,Soft
52,64,37232,East,Credit Card,Personal Loan,2018-12-26,445210,0,1167,158391,Current,Current,good,low,2675,2.8108288981065845,Soft
53,48,115194,South,Current,Auto Loan,2019-04-02,752878,10,47431,117645,Delinquent,0-30,good,low,2578,6.3995749925623695,Soft
54,51,110657,East,Current,Personal Loan,2023-07-28,634115,70,2769,183087,Charged-off,60-90,bad,High,1000,3.4634627253709986,Aggressive
55,27,162791,North,Credit Card,Mortgage,2018-09-28,709685,0,37242,248320,Current,Current,good,low,2764,2.8579453930412373,Soft
56,47,56284,West,Current,Credit Card,2017-06-19,379814,70,40329,201531,Charged-off,60-90,bad,High,3230,1.8846430573956363,Aggressive
57,37,113133,South,Loan,Mortgage,2022-11-07,517007,0,44502,465997,Current,Current,good,low,1263,1.1094642240186097,Soft
58,27,51563,South,Credit Card,Auto Loan,2024-09-11,480501,0,42096,162533,Current,Current,good,low,589,2.9563288685989924,Soft
59,35,44654,West,Credit Card,Auto Loan,2017-03-30,792793,0,22266,156501,Current,Current,good,low,3311,5.065737599120772,Soft
60,60,90463,North,Savings,Mortgage,2021-12-09,86130,70,42057,48017,Charged-off,60-90,bad,High,1596,1.7937397171834975,Aggressive
61,32,51563,North,Loan,Personal Loan,2022-09-02,258414,0,49617,455355,Current,Current,good,low,1329,0.5675000823533287,Soft
62,28,144172,East,Credit Card,Auto Loan,2019-05-11,658033,0,41290,121772,Current,Current,good,low,2539,5.403812042177184,Soft
63,22,124628,East,Loan,Mortgage,2022-10-29,64214,0,37170,476005,Current,Current,good,low,1272,0.1349019443073077,Soft
64,64,101816,South,Savings,Mortgage,2019-04-28,39320,10,14430,235032,Delinquent,0-30,good,low,2552,0.1672963681541237,Soft
65,58,165647,West,Credit Card,Auto Loan,2023-03-04,696398,20,39092,178487,Delinquent,0-30,good,low,1146,3.9016735112361123,Soft
66,46,129756,South,Credit Card,Personal Loan,2024-04-21,373472,35,18657,336415,Delinquent,30-60,good,medium,732,1.1101526388537966,Soft
67,41,103234,South,Loan,Auto Loan,2019-06-02,693967,20,29631,152067,Delinquent,0-30,good,low,2517,4.563560798858398,Soft
68,33,62297,South,Credit Card,Personal Loan,2024-01-29,87033,0,1495,40765,Current,Current,good,low,815,2.1349932540169263,Soft
69,39,101516,East,Credit Card,Personal Loan,2022-10-31,688066,20,24676,300758,Delinquent,0-30,good,low,1270,2.287772893821611,Soft
70,38,52979,West,Credit Card,Credit Card,2018-06-18,253868,0,35899,295133,Current,Current,good,low,2866,0.8601816808015369,Soft
71,22,122234,North,Credit Card,Personal Loan,2022-10-22,210727,10,6662,278449,Delinquent,0-30,good,low,1279,0.7567884962775948,Soft
72,62,120922,West,Current,Mortgage,2019-03-16,332570,0,16511,223037,Current,Current,good,low,2595,1.4910978895878262,Soft
73,48,178637,West,Credit Card,Credit Card,2022-10-17,788486,0,15690,154585,Current,Current,good,low,1284,5.100663065627325,Soft
74,43,81022,West,Credit Card,Auto Loan,2024-02-20,741965,70,4777,152762,Charged-off,60-90,bad,High,793,4.85699977743156,Aggressive
75,24,141449,West,Credit Card,Mortgage,2018-08-24,710080,95,6567,312987,Charged-off,90+,bad,High,2799,2.2687204260879845,Aggressive
76,24,122930,West,Savings,Mortgage,2020-03-26,251249,70,41914,359593,Charged-off,60-90,bad,High,2219,0.6987038123656467,Aggressive
77,32,38325,East,Credit Card,Mortgage,2022-04-20,228503,50,10104,163647,Delinquent,30-60,good,medium,1464,1.3963164616522148,Soft
78,42,99904,East,Loan,Auto Loan,2022-09-14,612325,50,17021,108081,Delinquent,30-60,good,medium,1317,5.665426855784088,Soft
79,46,39116,West,Current,Mortgage,2018-06-21,575683,0,5771,112082,Current,Current,good,low,2863,5.136266305026677,Soft
80,60,120482,North,Credit Card,Personal Loan,2023-12-26,564859,35,10619,179184,Delinquent,30-60,good,medium,849,3.152396419323154,Soft
81,62,33465,West,Credit Card,Credit Card,2020-03-05,294678,120,48643,325876,Charged-off,90+,bad,High,2240,0.904264198652248,Aggressive
82,55,80306,South,Loan,Credit Card,2020-07-13,718227,35,44843,355367,Delinquent,30-60,good,medium,2110,2.021085244268601,Soft
83,24,131399,South,Savings,Personal Loan,2021-10-17,146280,120,22130,357878,Charged-off,90+,bad,High,1649,0.40874264414129957,Aggressive
84,32,75889,North,Current,Credit Card,2024-07-30,252968,0,44325,214594,Current,Current,good,low,632,1.1788214022759258,Soft
85,24,25400,North,Loan,Credit Card,2017-03-07,57372,50,19101,159971,Delinquent,30-60,good,medium,3334,0.35864000350063446,Soft
86,51,91317,East,Loan,Credit Card,2018-01-17,448400,20,45249,128755,Delinquent,0-30,good,low,3018,3.482583200652402,Soft
87,27,76664,North,Current,Credit Card,2020-10-28,541297,50,43439,451017,Delinquent,30-60,good,medium,2003,1.2001698383874666,Soft
88,30,142955,South,Loan,Personal Loan,2022-05-22,651659,0,46391,215997,Current,Current,good,low,1432,3.0169817173386666,Soft
89,44,144616,North,Savings,Mortgage,2021-11-22,392851,0,40744,352047,Current,Current,good,low,1613,1.1159049785966078,Soft
90,35,29851,North,Current,Auto Loan,2017-12-08,798549,20,6578,467221,Delinquent,0-30,good,low,3058,1.7091462070412076,Soft
91,59,172380,North,Current,Mortgage,2019-11-01,142503,35,35730,182190,Delinquent,30-60,good,medium,2365,0.7821669685493167,Soft
92,40,168460,West,Credit Card,Credit Card,2023-02-16,529029,0,29356,373865,Current,Current,good,low,1162,1.415026814491862,Soft
93,27,129089,South,Credit Card,Credit Card,2017-10-31,729840,70,23326,147943,Charged-off,60-90,bad,High,3096,4.933251319765045,Aggressive
94,33,42871,West,Loan,Personal Loan,2019-02-26,149442,0,12437,370648,Current,Current,good,low,2613,0.40319116790054177,Soft
95,48,75791,North,Savings,Mortgage,2022-06-28,316797,0,34053,350739,Current,Current,good,low,1395,0.9032271860272169,Soft
96,59,128258,South,Savings,Mortgage,2023-07-28,724649,70,41007,476670,Charged-off,60-90,bad,High,1000,1.5202320263494662,Aggressive
97,38,179239,South,Current,Auto Loan,2019-08-12,97448,0,27492,408829,Current,Current,good,low,2446,0.23835882483874676,Soft
98,31,147932,North,Current,Mortgage,2025-02-04,713203,0,33293,485140,Current,Current,good,low,443,1.4700972915034836,Soft
99,56,30525,West,Current,Auto Loan,2020-05-11,735357,20,23167,273064,Delinquent,0-30,good,low,2173,2.692984062344359,Soft
100,56,43390,South,Current,Personal Loan,2018-06-18,144022,0,24807,336721,Current,Current,good,low,2866,0.42771909087939275,Soft
101,22,173528,East,Loan,Personal Loan,2020-12-04,282077,20,17448,373397,Delinquent,0-30,good,low,1966,0.7554345642841266,Soft
102,37,132701,North,Savings,Credit Card,2021-06-20,153314,35,14905,130972,Delinquent,30-60,good,medium,1768,1.170586079467367,Soft
103,26,182125,East,Current,Auto Loan,2021-04-03,732486,50,39141,469907,Delinquent,30-60,good,medium,1846,1.5587892923493372,Soft
104,61,27603,North,Current,Auto Loan,2024-02-02,714709,50,10947,33782,Delinquent,30-60,good,medium,811,21.156503463382865,Soft
105,43,149152,West,Savings,Auto Loan,2020-11-19,623463,20,10297,182622,Delinquent,0-30,good,low,1981,3.4139534119656996,Soft
106,36,111163,East,Credit Card,Mortgage,2021-07-04,773122,50,14540,230640,Delinquent,30-60,good,medium,1754,3.352072493929934,Soft
107,61,177065,West,Savings,Personal Loan,2019-09-23,437656,20,10739,294006,Delinquent,0-30,good,low,2404,1.4885954708407312,Soft
108,46,156223,East,Current,Auto Loan,2020-12-11,724385,35,13773,77684,Delinquent,30-60,good,medium,1959,9.32476443025591,Soft
109,21,73971,North,Loan,Personal Loan,2022-05-05,273840,0,14600,122108,Current,Current,good,low,1449,2.242604907131392,Soft
110,56,153894,South,Credit Card,Auto Loan,2020-11-26,44401,0,18518,112810,Current,Current,good,low,1974,0.39359099370623174,Soft
111,50,179372,South,Credit Card,Personal Loan,2024-12-03,643034,0,47853,392814,Current,Current,good,low,506,1.6369935898415027,Soft
112,22,127136,North,Savings,Mortgage,2021-09-23,450119,70,41038,459896,Charged-off,60-90,bad,High,1673,0.9787408457564319,Aggressive
113,40,95490,North,Loan,Credit Card,2023-09-10,474880,50,39384,250228,Delinquent,30-60,good,medium,956,1.8977892162347938,Soft
114,25,83954,West,Savings,Credit Card,2020-05-12,400660,10,1695,324773,Delinquent,0-30,good,low,2172,1.2336616652246337,Soft
115,51,88579,North,Credit Card,Mortgage,2019-07-29,256270,120,8401,113102,Charged-off,90+,bad,High,2460,2.265830842955916,Aggressive
116,28,51811,South,Savings,Auto Loan,2021-12-26,773086,35,7815,150255,Delinquent,30-60,good,medium,1579,5.145159894845429,Soft
117,50,120583,North,Credit Card,Auto Loan,2018-08-04,593750,70,8241,372332,Charged-off,60-90,bad,High,2819,1.594678942449212,Aggressive
118,59,62842,West,Loan,Credit Card,2020-04-21,798053,35,35534,407836,Delinquent,30-60,good,medium,2193,1.95679881128689,Soft
119,22,199032,North,Credit Card,Mortgage,2019-10-23,44069,0,8415,325953,Current,Current,good,low,2374,0.13520047368792434,Soft
120,33,181986,North,Current,Credit Card,2017-09-21,52249,20,34572,167062,Delinquent,0-30,good,low,3136,0.3127521518957034,Soft
121,24,29269,East,Current,Credit Card,2021-08-09,455355,0,2296,375717,Current,Current,good,low,1718,1.2119627272654685,Soft
122,28,196800,North,Current,Mortgage,2019-12-15,495326,95,41459,281945,Charged-off,90+,bad,High,2321,1.756817819078189,Aggressive
123,59,104855,West,Savings,Credit Card,2023-10-18,651656,35,18342,405434,Delinquent,30-60,good,medium,918,1.6073047647705916,Soft
124,45,179295,West,Savings,Mortgage,2018-09-14,754688,70,23352,43930,Charged-off,60-90,bad,High,2778,17.179330753471433,Aggressive
125,27,115704,West,Current,Personal Loan,2017-12-07,734926,0,19936,187765,Current,Current,good,low,3059,3.914073442867414,Soft
126,34,54427,North,Credit Card,Mortgage,2019-11-03,796178,0,34536,27629,Current,Current,good,low,2363,28.816750515762422,Soft
127,49,127861,South,Current,Credit Card,2019-08-19,359582,70,45403,344701,Charged-off,60-90,bad,High,2439,1.043170747981584,Aggressive
128,41,147771,North,Credit Card,Mortgage,2022-01-30,699929,95,15386,325232,Charged-off,90+,bad,High,1544,2.1520914301175775,Aggressive
129,57,63138,South,Loan,Mortgage,2019-07-25,386202,0,35955,30256,Current,Current,good,low,2464,12.764476467477525,Soft
130,53,88518,North,Credit Card,Credit Card,2025-03-16,309969,0,9214,339615,Current,Current,good,low,403,0.9127070359083079,Soft
131,61,99757,West,Credit Card,Credit Card,2021-07-09,711884,0,12070,262130,Current,Current,good,low,1749,2.7157669858467175,Soft
132,45,126465,East,Savings,Personal Loan,2020-03-30,504440,50,1790,485541,Delinquent,30-60,good,medium,2215,1.038923592446364,Soft
133,34,193282,South,Credit Card,Mortgage,2022-08-14,469229,0,28786,124905,Current,Current,good,low,1348,3.7566870821824585,Soft
134,29,154038,East,Credit Card,Auto Loan,2022-09-02,5497,10,20053,352681,Delinquent,0-30,good,low,1329,0.015586323051142534,Soft
135,35,71026,West,Savings,Credit Card,2025-03-10,474264,70,46537,252239,Charged-off,60-90,bad,High,409,1.880216778531472,Aggressive
136,27,177229,South,Credit Card,Mortgage,2019-08-13,375901,0,36551,126288,Current,Current,good,low,2445,2.9765377549727607,Soft
137,22,179583,South,Savings,Personal Loan,2021-07-25,104800,0,33094,142859,Current,Current,good,low,1733,0.7335904633239768,Soft
138,51,114178,West,Current,Credit Card,2024-08-31,527685,95,38274,167802,Charged-off,90+,bad,High,600,3.144688382736797,Aggressive
139,27,198526,East,Current,Mortgage,2020-08-15,687860,0,43904,298525,Current,Current,good,low,2077,2.3041956285068252,Soft
140,61,54998,North,Loan,Credit Card,2020-01-14,689687,120,34957,496045,Charged-off,90+,bad,High,2291,1.3903718412644015,Aggressive
141,31,127015,South,Loan,Auto Loan,2024-01-16,609068,0,40689,402259,Current,Current,good,low,828,1.5141190128747897,Soft
142,33,189369,East,Credit Card,Mortgage,2022-06-05,260880,20,30335,490637,Delinquent,0-30,good,low,1418,0.531716931254675,Soft
143,33,158040,East,Savings,Mortgage,2021-08-25,741049,20,2693,230492,Delinquent,0-30,good,low,1702,3.2150747097513146,Soft
144,46,62507,North,Credit Card,Mortgage,2021-07-04,44763,50,39798,270855,Delinquent,30-60,good,medium,1754,0.16526554798693027,Soft
145,63,189369,South,Credit Card,Mortgage,2023-02-09,526524,35,9171,402555,Delinquent,30-60,good,medium,1169,1.3079554346611022,Soft
146,28,184508,North,Credit Card,Personal Loan,2017-01-31,107128,0,30956,358577,Current,Current,good,low,3369,0.298758704546025,Soft
147,34,78078,North,Credit Card,Auto Loan,2022-08-23,172068,0,14482,438058,Current,Current,good,low,1339,0.39279730081404746,Soft
148,22,111734,North,Credit Card,Auto Loan,2018-10-03,763534,10,9377,176643,Delinquent,0-30,good,low,2759,4.322469613853931,Soft
149,62,69630,South,Savings,Credit Card,2023-06-06,534835,0,29131,85115,Current,Current,good,low,1052,6.283675027903425,Soft
150,35,78005,South,Credit Card,Personal Loan,2019-01-23,205207,50,22387,435120,Delinquent,30-60,good,medium,2647,0.471610130538702,Soft
151,44,47422,West,Credit Card,Auto Loan,2022-06-18,267001,20,32154,134338,Delinquent,0-30,good,low,1405,1.9875314505203294,Soft
152,54,176950,East,Savings,Mortgage,2022-09-13,500843,35,24938,434084,Delinquent,30-60,good,medium,1318,1.1537928142940077,Soft
153,24,84589,East,Savings,Personal Loan,2020-10-03,579441,0,42564,69098,Current,Current,good,low,2028,8.385785406234623,Soft
154,38,165916,East,Loan,Mortgage,2021-07-08,637344,0,29624,249853,Current,Current,good,low,1750,2.5508759150380422,Soft
155,45,184178,North,Current,Credit Card,2024-04-13,350202,70,49445,457994,Charged-off,60-90,bad,High,740,0.7646432049328157,Aggressive
156,44,67454,East,Savings,Mortgage,2023-05-08,689142,0,36366,122537,Current,Current,good,low,1081,5.623950317047096,Soft
157,26,55491,East,Savings,Auto Loan,2022-04-20,661423,50,32323,47153,Delinquent,30-60,good,medium,1464,14.027166882276843,Soft
158,54,145126,West,Current,Credit Card,2017-11-27,295322,20,11496,414538,Delinquent,0-30,good,low,3069,0.712412372327748,Soft
159,58,137214,South,Loan,Auto Loan,2022-06-20,687342,120,36321,51098,Charged-off,90+,bad,High,1403,13.45144624055736,Aggressive
160,23,161336,North,Current,Credit Card,2021-06-11,542214,0,26543,22881,Current,Current,good,low,1777,23.697128622000786,Soft
161,39,40044,West,Savings,Mortgage,2019-01-23,193233,0,13399,214655,Current,Current,good,low,2647,0.9002026507651814,Soft
162,56,65137,West,Current,Mortgage,2018-02-06,46752,95,42158,338963,Charged-off,90+,bad,High,2998,0.13792655835592676,Aggressive
163,39,47202,West,Loan,Personal Loan,2025-01-21,259716,0,27110,67635,Current,Current,good,low,457,3.8399645154136173,Soft
164,48,143323,North,Current,Personal Loan,2017-01-23,49618,20,12917,338013,Delinquent,0-30,good,low,3377,0.14679317067686745,Soft
165,30,32638,West,Savings,Personal Loan,2018-09-11,736499,0,32412,98243,Current,Current,good,low,2781,7.496707144529381,Soft
166,38,91672,North,Savings,Mortgage,2017-08-24,695477,10,28699,228866,Delinquent,0-30,good,low,3164,3.038795627135529,Soft
167,24,122769,North,Loan,Mortgage,2023-12-06,651276,120,48030,303071,Charged-off,90+,bad,High,869,2.148922199748574,Aggressive
168,32,110908,East,Savings,Credit Card,2024-08-31,103620,0,30501,360768,Current,Current,good,low,600,0.28722059606173495,Soft
169,47,127091,West,Savings,Mortgage,2022-10-19,86401,0,47648,483230,Current,Current,good,low,1282,0.1787989156302382,Soft
170,49,136553,East,Loan,Auto Loan,2018-08-31,504517,120,13811,185536,Charged-off,90+,bad,High,2792,2.719240470852018,Aggressive
171,32,142414,East,Credit Card,Mortgage,2022-09-29,726947,0,26414,454642,Current,Current,good,low,1302,1.5989437843402061,Soft
172,31,46399,West,Savings,Mortgage,2018-12-14,642302,95,33950,77891,Charged-off,90+,bad,High,2687,8.246164511946182,Aggressive
173,24,50672,South,Loan,Mortgage,2020-05-04,312870,35,17832,131262,Delinquent,30-60,good,medium,2180,2.383553503679664,Soft
174,44,112319,South,Credit Card,Auto Loan,2020-06-10,151192,70,12120,22710,Charged-off,60-90,bad,High,2143,6.6575077058564505,Aggressive
175,46,77113,West,Current,Personal Loan,2024-09-11,305501,10,20386,72625,Delinquent,0-30,good,low,589,4.206554216867469,Soft
176,48,125872,West,Loan,Mortgage,2017-05-16,374827,0,11529,419950,Current,Current,good,low,3264,0.8925514942255031,Soft
177,24,124190,North,Credit Card,Mortgage,2024-04-06,177609,35,18956,393842,Delinquent,30-60,good,medium,747,0.4509651078351217,Soft
178,56,43041,North,Loan,Mortgage,2017-04-12,463332,35,9384,417655,Delinquent,30-60,good,medium,3298,1.109365385306054,Soft
179,35,31235,North,Credit Card,Auto Loan,2017-06-20,13286,0,45683,328726,Current,Current,good,low,3229,0.04041663878123422,Soft
180,42,49409,North,Credit Card,Mortgage,2021-07-22,670703,0,27552,222082,Current,Current,good,low,1736,3.0200691636422583,Soft
181,44,35926,South,Credit Card,Personal Loan,2020-01-29,734763,0,3652,324744,Current,Current,good,low,2276,2.2625914566550884,Soft
182,44,126850,West,Credit Card,Auto Loan,2024-08-18,743256,50,38721,488862,Delinquent,30-60,good,medium,613,1.520379984535513,Soft
183,57,179652,North,Savings,Personal Loan,2021-01-30,266815,35,21035,315977,Delinquent,30-60,good,medium,1909,0.8444127262427329,Soft
184,25,85853,West,Savings,Personal Loan,2018-09-10,442137,0,40954,104168,Current,Current,good,low,2782,4.244460870900853,Soft
185,26,105362,North,Loan,Mortgage,2021-08-14,541995,0,30211,480920,Current,Current,good,low,1713,1.1269961739998338,Soft
186,30,57166,West,Current,Mortgage,2018-11-10,155298,0,15394,143427,Current,Current,good,low,2721,1.0827668430630215,Soft
187,23,29837,South,Current,Auto Loan,2018-09-20,266477,10,20213,24775,Delinquent,0-30,good,low,2772,10.755882946518668,Soft
188,58,78738,South,Savings,Credit Card,2024-06-19,762928,50,12718,61502,Delinquent,30-60,good,medium,673,12.40492992097818,Soft
189,54,118701,North,Credit Card,Credit Card,2022-01-14,274629,0,30740,229655,Current,Current,good,low,1560,1.1958328797544142,Soft
190,26,180056,West,Loan,Credit Card,2021-02-25,706103,0,30932,405637,Current,Current,good,low,1883,1.740726314414119,Soft
191,30,142736,West,Current,Credit Card,2017-10-24,583767,70,16144,471956,Charged-off,60-90,bad,High,3103,1.2369097966759612,Aggressive
192,36,72456,East,Loan,Personal Loan,2024-09-04,637422,0,9032,398771,Current,Current,good,low,596,1.5984662876688627,Soft
193,49,140210,West,Credit Card,Credit Card,2021-09-24,623080,0,49732,244410,Current,Current,good,low,1672,2.54932285913015,Soft
194,23,92236,North,Credit Card,Auto Loan,2020-01-05,106875,50,29945,79574,Delinquent,30-60,good,medium,2300,1.3430894513283234,Soft
195,31,100346,South,Loan,Personal Loan,2023-11-06,512185,0,26787,305410,Current,Current,good,low,899,1.6770406993877083,Soft
196,57,118553,West,Current,Mortgage,2018-05-27,737520,50,38039,250115,Delinquent,30-60,good,medium,2888,2.948723587149911,Soft
197,24,196022,North,Current,Credit Card,2023-05-28,743550,0,2782,249654,Current,Current,good,low,1061,2.9783219976447404,Soft
198,24,34726,West,Current,Credit Card,2017-04-23,553558,20,44286,23857,Delinquent,0-30,good,low,3287,23.203168881250786,Soft
199,44,121098,East,Credit Card,Credit Card,2020-07-29,242125,120,30052,329067,Charged-off,90+,bad,High,2094,0.7357924070174159,Aggressive
200,48,198052,West,Credit Card,Credit Card,2022-05-07,285325,0,31317,196039,Current,Current,good,low,1447,1.4554501910334168,Soft
201,55,47329,West,Loan,Auto Loan,2021-01-20,338910,35,9661,427966,Delinquent,30-60,good,medium,1919,0.7919087030278106,Soft
202,58,155732,South,Savings,Auto Loan,2019-07-05,609072,0,1213,90332,Current,Current,good,low,2484,6.742593986627109,Soft
203,44,26015,South,Current,Personal Loan,2020-06-10,640518,35,29619,452640,Delinquent,30-60,good,medium,2143,1.4150715800636267,Soft
204,42,63625,West,Loan,Mortgage,2017-06-10,279257,35,12356,128591,Delinquent,30-60,good,medium,3239,2.171668312712398,Soft
205,46,131549,South,Loan,Credit Card,2017-06-16,523390,0,31973,149407,Current,Current,good,low,3233,3.503115650538462,Soft
206,38,117526,East,Loan,Mortgage,2023-11-27,32550,10,29350,495177,Delinquent,0-30,good,low,878,0.06573407084739397,Soft
207,23,163402,West,Savings,Credit Card,2021-10-29,310491,50,5152,352784,Delinquent,30-60,good,medium,1637,0.8801164451902581,Soft
208,31,90549,East,Loan,Personal Loan,2019-01-02,331790,50,9669,80185,Delinquent,30-60,good,medium,2668,4.137806322878344,Soft
