customer_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_catagory,vintage_days,utilization
28,62,124357,East,Savings,Personal Loan,2017-05-08,338680,0,35472,333383,Current,Current,good,low,3274,1.0158886325937435
29,56,145336,South,Current,Credit Card,2018-03-18,432534,0,8123,38126,Current,Current,good,low,2960,11.344856528353354
30,49,69779,North,Current,Personal Loan,2021-09-08,338029,35,18539,103329,Delinquent,30-60,good,medium,1690,3.2713855742337583
31,59,149408,East,Current,Personal Loan,2019-11-11,418889,50,1874,144938,Delinquent,30-60,good,medium,2357,2.8901254329437416
32,54,104784,South,Loan,Personal Loan,2023-01-26,757522,0,30438,152381,Current,Current,good,low,1185,4.971236571488571
33,42,97086,North,Loan,Mortgage,2018-01-24,746905,0,16502,207384,Current,Current,good,low,3013,3.60155556841415
34,51,169047,West,Loan,Credit Card,2017-10-02,396098,50,10447,402706,Delinquent,30-60,good,medium,3127,0.983591006838736
35,48,67397,North,Loan,Mortgage,2024-10-09,337309,120,30604,297274,Charged-off,90+,bad,High,563,1.134673735341806
36,55,138531,West,Savings,Mortgage,2017-05-30,146270,0,9703,481982,Current,Current,good,low,3252,0.3034760634214555
37,54,137832,North,Credit Card,Auto Loan,2021-12-06,524446,10,10819,327783,Delinquent,0-30,good,low,1601,1.5999792545678089
38,33,103233,East,Loan,Credit Card,2020-10-17,354888,10,41742,320575,Delinquent,0-30,good,low,2016,1.1070357950557592
39,61,54102,North,Savings,Auto Loan,2022-09-14,167331,20,40122,396370,Delinquent,0-30,good,low,1319,0.4221585891969624
40,24,112228,South,Loan,Personal Loan,2018-06-26,508219,10,43910,118874,Delinquent,0-30,good,low,2860,4.275274660564968
41,63,70556,North,Credit Card,Auto Loan,2020-07-28,609152,0,45185,358846,Current,Current,good,low,2097,1.69753041694766
42,26,81402,South,Credit Card,Credit Card,2022-05-23,498733,10,37196,335755,Delinquent,0-30,good,low,1433,1.4854075144078271
43,21,149744,South,Loan,Personal Loan,2017-11-30,222745,10,18120,498384,Delinquent,0-30,good,low,3068,0.4469344922790458
44,32,69936,South,Credit Card,Personal Loan,2019-01-21,796046,35,14413,192824,Delinquent,30-60,good,medium,2651,4.128355391445048
45,55,130363,North,Savings,Credit Card,2020-05-14,440628,50,41687,196314,Delinquent,30-60,good,medium,2172,2.2445062501910207
46,31,195057,South,Credit Card,Personal Loan,2023-02-25,699579,95,47090,187537,Charged-off,90+,bad,High,1155,3.73035187722956
47,43,156241,South,Loan,Credit Card,2018-10-30,496114,95,12151,52714,Charged-off,90+,bad,High,2734,9.4114277042152
48,34,133699,East,Savings,Auto Loan,2024-09-25,39616,0,27267,464786,Current,Current,good,low,577,0.08523492532047
49,39,68772,North,Current,Credit Card,2017-07-23,414032,0,45743,369185,Current,Current,good,low,3198,1.1214756829231958
50,57,34814,South,Savings,Auto Loan,2018-03-25,666568,20,15578,83158,Delinquent,0-30,good,low,2953,8.01568099280887
51,36,61881,West,Savings,Credit Card,2024-06-28,579257,0,21605,426770,Current,Current,good,low,666,1.3573048714764393
52,64,37232,East,Credit Card,Personal Loan,2018-12-26,445210,0,1167,158391,Current,Current,good,low,2677,2.8108288981065845
53,48,115194,South,Current,Auto Loan,2019-04-02,752878,10,47431,117645,Delinquent,0-30,good,low,2580,6.3995749925623695
54,51,110657,East,Current,Personal Loan,2023-07-28,634115,70,2769,183087,Charged-off,60-90,bad,High,1002,3.463462725370998
55,27,162791,North,Credit Card,Mortgage,2018-09-28,709685,0,37242,248320,Current,Current,good,low,2766,2.8579453930412373
56,47,56284,West,Current,Credit Card,2017-06-19,379814,70,40329,201531,Charged-off,60-90,bad,High,3232,1.8846430573956363
57,37,113133,South,Loan,Mortgage,2022-11-07,517007,0,44502,465997,Current,Current,good,low,1265,1.1094642240186097
58,27,51563,South,Credit Card,Auto Loan,2024-09-11,480501,0,42096,162533,Current,Current,good,low,591,2.9563288685989924
59,35,44654,West,Credit Card,Auto Loan,2017-03-30,792793,0,22266,156501,Current,Current,good,low,3313,5.065737599120772
60,60,90463,North,Savings,Mortgage,2021-12-09,86130,70,42057,48017,Charged-off,60-90,bad,High,1598,1.7937397171834977
61,32,51563,North,Loan,Personal Loan,2022-09-02,258414,0,49617,455355,Current,Current,good,low,1331,0.5675000823533287
62,28,144172,East,Credit Card,Auto Loan,2019-05-11,658033,0,41290,121772,Current,Current,good,low,2541,5.403812042177184
63,22,124628,East,Loan,Mortgage,2022-10-29,64214,0,37170,476005,Current,Current,good,low,1274,0.1349019443073077
64,64,101816,South,Savings,Mortgage,2019-04-28,39320,10,14430,235032,Delinquent,0-30,good,low,2554,0.1672963681541237
65,58,165647,West,Credit Card,Auto Loan,2023-03-04,696398,20,39092,178487,Delinquent,0-30,good,low,1148,3.901673511236112
66,46,129756,South,Credit Card,Personal Loan,2024-04-21,373472,35,18657,336415,Delinquent,30-60,good,medium,734,1.1101526388537966
67,41,103234,South,Loan,Auto Loan,2019-06-02,693967,20,29631,152067,Delinquent,0-30,good,low,2519,4.563560798858398
68,33,62297,South,Credit Card,Personal Loan,2024-01-29,87033,0,1495,40765,Current,Current,good,low,817,2.1349932540169263
69,39,101516,East,Credit Card,Personal Loan,2022-10-31,688066,20,24676,300758,Delinquent,0-30,good,low,1272,2.287772893821611
70,38,52979,West,Credit Card,Credit Card,2018-06-18,253868,0,35899,295133,Current,Current,good,low,2868,0.8601816808015369
71,22,122234,North,Credit Card,Personal Loan,2022-10-22,210727,10,6662,278449,Delinquent,0-30,good,low,1281,0.7567884962775948
72,62,120922,West,Current,Mortgage,2019-03-16,332570,0,16511,223037,Current,Current,good,low,2597,1.4910978895878262
73,48,178637,West,Credit Card,Credit Card,2022-10-17,788486,0,15690,154585,Current,Current,good,low,1286,5.100663065627325
74,43,81022,West,Credit Card,Auto Loan,2024-02-20,741965,70,4777,152762,Charged-off,60-90,bad,High,795,4.85699977743156
75,24,141449,West,Credit Card,Mortgage,2018-08-24,710080,95,6567,312987,Charged-off,90+,bad,High,2801,2.2687204260879845
76,24,122930,West,Savings,Mortgage,2020-03-26,251249,70,41914,359593,Charged-off,60-90,bad,High,2221,0.6987038123656467
77,32,38325,East,Credit Card,Mortgage,2022-04-20,228503,50,10104,163647,Delinquent,30-60,good,medium,1466,1.3963164616522148
78,42,99904,East,Loan,Auto Loan,2022-09-14,612325,50,17021,108081,Delinquent,30-60,good,medium,1319,5.665426855784088
79,46,39116,West,Current,Mortgage,2018-06-21,575683,0,5771,112082,Current,Current,good,low,2865,5.136266305026677
80,60,120482,North,Credit Card,Personal Loan,2023-12-26,564859,35,10619,179184,Delinquent,30-60,good,medium,851,3.152396419323154
81,62,33465,West,Credit Card,Credit Card,2020-03-05,294678,120,48643,325876,Charged-off,90+,bad,High,2242,0.904264198652248
82,55,80306,South,Loan,Credit Card,2020-07-13,718227,35,44843,355367,Delinquent,30-60,good,medium,2112,2.021085244268601
83,24,131399,South,Savings,Personal Loan,2021-10-17,146280,120,22130,357878,Charged-off,90+,bad,High,1651,0.4087426441412995
84,32,75889,North,Current,Credit Card,2024-07-30,252968,0,44325,214594,Current,Current,good,low,634,1.1788214022759258
85,24,25400,North,Loan,Credit Card,2017-03-07,57372,50,19101,159971,Delinquent,30-60,good,medium,3336,0.3586400035006344
86,51,91317,East,Loan,Credit Card,2018-01-17,448400,20,45249,128755,Delinquent,0-30,good,low,3020,3.482583200652402
87,27,76664,North,Current,Credit Card,2020-10-28,541297,50,43439,451017,Delinquent,30-60,good,medium,2005,1.2001698383874666
88,30,142955,South,Loan,Personal Loan,2022-05-22,651659,0,46391,215997,Current,Current,good,low,1434,3.0169817173386666
89,44,144616,North,Savings,Mortgage,2021-11-22,392851,0,40744,352047,Current,Current,good,low,1615,1.1159049785966078
90,35,29851,North,Current,Auto Loan,2017-12-08,798549,20,6578,467221,Delinquent,0-30,good,low,3060,1.7091462070412076
91,59,172380,North,Current,Mortgage,2019-11-01,142503,35,35730,182190,Delinquent,30-60,good,medium,2367,0.7821669685493167
92,40,168460,West,Credit Card,Credit Card,2023-02-16,529029,0,29356,373865,Current,Current,good,low,1164,1.415026814491862
93,27,129089,South,Credit Card,Credit Card,2017-10-31,729840,70,23326,147943,Charged-off,60-90,bad,High,3098,4.933251319765045
94,33,42871,West,Loan,Personal Loan,2019-02-26,149442,0,12437,370648,Current,Current,good,low,2615,0.4031911679005417
95,48,75791,North,Savings,Mortgage,2022-06-28,316797,0,34053,350739,Current,Current,good,low,1397,0.9032271860272169
96,59,128258,South,Savings,Mortgage,2023-07-28,724649,70,41007,476670,Charged-off,60-90,bad,High,1002,1.5202320263494662
97,38,179239,South,Current,Auto Loan,2019-08-12,97448,0,27492,408829,Current,Current,good,low,2448,0.2383588248387467
98,31,147932,North,Current,Mortgage,2025-02-04,713203,0,33293,485140,Current,Current,good,low,445,1.4700972915034836
99,56,30525,West,Current,Auto Loan,2020-05-11,735357,20,23167,273064,Delinquent,0-30,good,low,2175,2.692984062344359
100,56,43390,South,Current,Personal Loan,2018-06-18,144022,0,24807,336721,Current,Current,good,low,2868,0.4277190908793927
101,22,173528,East,Loan,Personal Loan,2020-12-04,282077,20,17448,373397,Delinquent,0-30,good,low,1968,0.7554345642841266
102,37,132701,North,Savings,Credit Card,2021-06-20,153314,35,14905,130972,Delinquent,30-60,good,medium,1770,1.170586079467367
103,26,182125,East,Current,Auto Loan,2021-04-03,732486,50,39141,469907,Delinquent,30-60,good,medium,1848,1.5587892923493372
104,61,27603,North,Current,Auto Loan,2024-02-02,714709,50,10947,33782,Delinquent,30-60,good,medium,813,21.156503463382865
105,43,149152,West,Savings,Auto Loan,2020-11-19,623463,20,10297,182622,Delinquent,0-30,good,low,1983,3.4139534119657
106,36,111163,East,Credit Card,Mortgage,2021-07-04,773122,50,14540,230640,Delinquent,30-60,good,medium,1756,3.352072493929934
107,61,177065,West,Savings,Personal Loan,2019-09-23,437656,20,10739,294006,Delinquent,0-30,good,low,2406,1.4885954708407312
108,46,156223,East,Current,Auto Loan,2020-12-11,724385,35,13773,77684,Delinquent,30-60,good,medium,1961,9.32476443025591
109,21,73971,North,Loan,Personal Loan,2022-05-05,273840,0,14600,122108,Current,Current,good,low,1451,2.242604907131392
110,56,153894,South,Credit Card,Auto Loan,2020-11-26,44401,0,18518,112810,Current,Current,good,low,1976,0.3935909937062317
111,50,179372,South,Credit Card,Personal Loan,2024-12-03,643034,0,47853,392814,Current,Current,good,low,508,1.636993589841503
112,22,127136,North,Savings,Mortgage,2021-09-23,450119,70,41038,459896,Charged-off,60-90,bad,High,1675,0.978740845756432
113,40,95490,North,Loan,Credit Card,2023-09-10,474880,50,39384,250228,Delinquent,30-60,good,medium,958,1.8977892162347936
114,25,83954,West,Savings,Credit Card,2020-05-12,400660,10,1695,324773,Delinquent,0-30,good,low,2174,1.2336616652246335
115,51,88579,North,Credit Card,Mortgage,2019-07-29,256270,120,8401,113102,Charged-off,90+,bad,High,2462,2.265830842955916
116,28,51811,South,Savings,Auto Loan,2021-12-26,773086,35,7815,150255,Delinquent,30-60,good,medium,1581,5.145159894845429
117,50,120583,North,Credit Card,Auto Loan,2018-08-04,593750,70,8241,372332,Charged-off,60-90,bad,High,2821,1.594678942449212
118,59,62842,West,Loan,Credit Card,2020-04-21,798053,35,35534,407836,Delinquent,30-60,good,medium,2195,1.95679881128689
119,22,199032,North,Credit Card,Mortgage,2019-10-23,44069,0,8415,325953,Current,Current,good,low,2376,0.1352004736879243
120,33,181986,North,Current,Credit Card,2017-09-21,52249,20,34572,167062,Delinquent,0-30,good,low,3138,0.3127521518957034
121,24,29269,East,Current,Credit Card,2021-08-09,455355,0,2296,375717,Current,Current,good,low,1720,1.2119627272654685
122,28,196800,North,Current,Mortgage,2019-12-15,495326,95,41459,281945,Charged-off,90+,bad,High,2323,1.756817819078189
123,59,104855,West,Savings,Credit Card,2023-10-18,651656,35,18342,405434,Delinquent,30-60,good,medium,920,1.6073047647705916
124,45,179295,West,Savings,Mortgage,2018-09-14,754688,70,23352,43930,Charged-off,60-90,bad,High,2780,17.179330753471433
125,27,115704,West,Current,Personal Loan,2017-12-07,734926,0,19936,187765,Current,Current,good,low,3061,3.914073442867414
126,34,54427,North,Credit Card,Mortgage,2019-11-03,796178,0,34536,27629,Current,Current,good,low,2365,28.816750515762426
127,49,127861,South,Current,Credit Card,2019-08-19,359582,70,45403,344701,Charged-off,60-90,bad,High,2441,1.043170747981584
128,41,147771,North,Credit Card,Mortgage,2022-01-30,699929,95,15386,325232,Charged-off,90+,bad,High,1546,2.152091430117577
129,57,63138,South,Loan,Mortgage,2019-07-25,386202,0,35955,30256,Current,Current,good,low,2466,12.764476467477524
130,53,88518,North,Credit Card,Credit Card,2025-03-16,309969,0,9214,339615,Current,Current,good,low,405,0.912707035908308
131,61,99757,West,Credit Card,Credit Card,2021-07-09,711884,0,12070,262130,Current,Current,good,low,1751,2.715766985846717
132,45,126465,East,Savings,Personal Loan,2020-03-30,504440,50,1790,485541,Delinquent,30-60,good,medium,2217,1.038923592446364
133,34,193282,South,Credit Card,Mortgage,2022-08-14,469229,0,28786,124905,Current,Current,good,low,1350,3.7566870821824585
134,29,154038,East,Credit Card,Auto Loan,2022-09-02,5497,10,20053,352681,Delinquent,0-30,good,low,1331,0.0155863230511425
135,35,71026,West,Savings,Credit Card,2025-03-10,474264,70,46537,252239,Charged-off,60-90,bad,High,411,1.880216778531472
136,27,177229,South,Credit Card,Mortgage,2019-08-13,375901,0,36551,126288,Current,Current,good,low,2447,2.9765377549727607
137,22,179583,South,Savings,Personal Loan,2021-07-25,104800,0,33094,142859,Current,Current,good,low,1735,0.7335904633239768
138,51,114178,West,Current,Credit Card,2024-08-31,527685,95,38274,167802,Charged-off,90+,bad,High,602,3.144688382736797
139,27,198526,East,Current,Mortgage,2020-08-15,687860,0,43904,298525,Current,Current,good,low,2079,2.304195628506825
140,61,54998,North,Loan,Credit Card,2020-01-14,689687,120,34957,496045,Charged-off,90+,bad,High,2293,1.3903718412644015
141,31,127015,South,Loan,Auto Loan,2024-01-16,609068,0,40689,402259,Current,Current,good,low,830,1.5141190128747897
142,33,189369,East,Credit Card,Mortgage,2022-06-05,260880,20,30335,490637,Delinquent,0-30,good,low,1420,0.531716931254675
143,33,158040,East,Savings,Mortgage,2021-08-25,741049,20,2693,230492,Delinquent,0-30,good,low,1704,3.2150747097513146
144,46,62507,North,Credit Card,Mortgage,2021-07-04,44763,50,39798,270855,Delinquent,30-60,good,medium,1756,0.1652655479869302
145,63,189369,South,Credit Card,Mortgage,2023-02-09,526524,35,9171,402555,Delinquent,30-60,good,medium,1171,1.3079554346611022
146,28,184508,North,Credit Card,Personal Loan,2017-01-31,107128,0,30956,358577,Current,Current,good,low,3371,0.298758704546025
147,34,78078,North,Credit Card,Auto Loan,2022-08-23,172068,0,14482,438058,Current,Current,good,low,1341,0.3927973008140474
148,22,111734,North,Credit Card,Auto Loan,2018-10-03,763534,10,9377,176643,Delinquent,0-30,good,low,2761,4.322469613853931
149,62,69630,South,Savings,Credit Card,2023-06-06,534835,0,29131,85115,Current,Current,good,low,1054,6.283675027903425
150,35,78005,South,Credit Card,Personal Loan,2019-01-23,205207,50,22387,435120,Delinquent,30-60,good,medium,2649,0.471610130538702
151,44,47422,West,Credit Card,Auto Loan,2022-06-18,267001,20,32154,134338,Delinquent,0-30,good,low,1407,1.9875314505203292
152,54,176950,East,Savings,Mortgage,2022-09-13,500843,35,24938,434084,Delinquent,30-60,good,medium,1320,1.1537928142940077
153,24,84589,East,Savings,Personal Loan,2020-10-03,579441,0,42564,69098,Current,Current,good,low,2030,8.385785406234623
154,38,165916,East,Loan,Mortgage,2021-07-08,637344,0,29624,249853,Current,Current,good,low,1752,2.5508759150380422
155,45,184178,North,Current,Credit Card,2024-04-13,350202,70,49445,457994,Charged-off,60-90,bad,High,742,0.7646432049328157
156,44,67454,East,Savings,Mortgage,2023-05-08,689142,0,36366,122537,Current,Current,good,low,1083,5.623950317047096
157,26,55491,East,Savings,Auto Loan,2022-04-20,661423,50,32323,47153,Delinquent,30-60,good,medium,1466,14.027166882276845
158,54,145126,West,Current,Credit Card,2017-11-27,295322,20,11496,414538,Delinquent,0-30,good,low,3071,0.712412372327748
159,58,137214,South,Loan,Auto Loan,2022-06-20,687342,120,36321,51098,Charged-off,90+,bad,High,1405,13.45144624055736
160,23,161336,North,Current,Credit Card,2021-06-11,542214,0,26543,22881,Current,Current,good,low,1779,23.697128622000783
161,39,40044,West,Savings,Mortgage,2019-01-23,193233,0,13399,214655,Current,Current,good,low,2649,0.9002026507651814
162,56,65137,West,Current,Mortgage,2018-02-06,46752,95,42158,338963,Charged-off,90+,bad,High,3000,0.1379265583559267
163,39,47202,West,Loan,Personal Loan,2025-01-21,259716,0,27110,67635,Current,Current,good,low,459,3.839964515413617
164,48,143323,North,Current,Personal Loan,2017-01-23,49618,20,12917,338013,Delinquent,0-30,good,low,3379,0.1467931706768674
165,30,32638,West,Savings,Personal Loan,2018-09-11,736499,0,32412,98243,Current,Current,good,low,2783,7.496707144529381
166,38,91672,North,Savings,Mortgage,2017-08-24,695477,10,28699,228866,Delinquent,0-30,good,low,3166,3.038795627135529
167,24,122769,North,Loan,Mortgage,2023-12-06,651276,120,48030,303071,Charged-off,90+,bad,High,871,2.148922199748574
168,32,110908,East,Savings,Credit Card,2024-08-31,103620,0,30501,360768,Current,Current,good,low,602,0.2872205960617349
169,47,127091,West,Savings,Mortgage,2022-10-19,86401,0,47648,483230,Current,Current,good,low,1284,0.1787989156302382
170,49,136553,East,Loan,Auto Loan,2018-08-31,504517,120,13811,185536,Charged-off,90+,bad,High,2794,2.719240470852018
171,32,142414,East,Credit Card,Mortgage,2022-09-29,726947,0,26414,454642,Current,Current,good,low,1304,1.598943784340206
172,31,46399,West,Savings,Mortgage,2018-12-14,642302,95,33950,77891,Charged-off,90+,bad,High,2689,8.246164511946182
173,24,50672,South,Loan,Mortgage,2020-05-04,312870,35,17832,131262,Delinquent,30-60,good,medium,2182,2.383553503679664
174,44,112319,South,Credit Card,Auto Loan,2020-06-10,151192,70,12120,22710,Charged-off,60-90,bad,High,2145,6.6575077058564505
175,46,77113,West,Current,Personal Loan,2024-09-11,305501,10,20386,72625,Delinquent,0-30,good,low,591,4.206554216867469
176,48,125872,West,Loan,Mortgage,2017-05-16,374827,0,11529,419950,Current,Current,good,low,3266,0.8925514942255031
177,24,124190,North,Credit Card,Mortgage,2024-04-06,177609,35,18956,393842,Delinquent,30-60,good,medium,749,0.4509651078351217
178,56,43041,North,Loan,Mortgage,2017-04-12,463332,35,9384,417655,Delinquent,30-60,good,medium,3300,1.109365385306054
179,35,31235,North,Credit Card,Auto Loan,2017-06-20,13286,0,45683,328726,Current,Current,good,low,3231,0.0404166387812342
180,42,49409,North,Credit Card,Mortgage,2021-07-22,670703,0,27552,222082,Current,Current,good,low,1738,3.0200691636422583
181,44,35926,South,Credit Card,Personal Loan,2020-01-29,734763,0,3652,324744,Current,Current,good,low,2278,2.2625914566550884
182,44,126850,West,Credit Card,Auto Loan,2024-08-18,743256,50,38721,488862,Delinquent,30-60,good,medium,615,1.520379984535513
183,57,179652,North,Savings,Personal Loan,2021-01-30,266815,35,21035,315977,Delinquent,30-60,good,medium,1911,0.8444127262427329
184,25,85853,West,Savings,Personal Loan,2018-09-10,442137,0,40954,104168,Current,Current,good,low,2784,4.244460870900853
185,26,105362,North,Loan,Mortgage,2021-08-14,541995,0,30211,480920,Current,Current,good,low,1715,1.1269961739998338
186,30,57166,West,Current,Mortgage,2018-11-10,155298,0,15394,143427,Current,Current,good,low,2723,1.0827668430630215
187,23,29837,South,Current,Auto Loan,2018-09-20,266477,10,20213,24775,Delinquent,0-30,good,low,2774,10.755882946518668
188,58,78738,South,Savings,Credit Card,2024-06-19,762928,50,12718,61502,Delinquent,30-60,good,medium,675,12.40492992097818
189,54,118701,North,Credit Card,Credit Card,2022-01-14,274629,0,30740,229655,Current,Current,good,low,1562,1.1958328797544142
190,26,180056,West,Loan,Credit Card,2021-02-25,706103,0,30932,405637,Current,Current,good,low,1885,1.740726314414119
191,30,142736,West,Current,Credit Card,2017-10-24,583767,70,16144,471956,Charged-off,60-90,bad,High,3105,1.2369097966759612
192,36,72456,East,Loan,Personal Loan,2024-09-04,637422,0,9032,398771,Current,Current,good,low,598,1.598466287668863
193,49,140210,West,Credit Card,Credit Card,2021-09-24,623080,0,49732,244410,Current,Current,good,low,1674,2.54932285913015
194,23,92236,North,Credit Card,Auto Loan,2020-01-05,106875,50,29945,79574,Delinquent,30-60,good,medium,2302,1.3430894513283234
195,31,100346,South,Loan,Personal Loan,2023-11-06,512185,0,26787,305410,Current,Current,good,low,901,1.6770406993877085
196,57,118553,West,Current,Mortgage,2018-05-27,737520,50,38039,250115,Delinquent,30-60,good,medium,2890,2.948723587149911
197,24,196022,North,Current,Credit Card,2023-05-28,743550,0,2782,249654,Current,Current,good,low,1063,2.9783219976447404
198,24,34726,West,Current,Credit Card,2017-04-23,553558,20,44286,23857,Delinquent,0-30,good,low,3289,23.203168881250782
199,44,121098,East,Credit Card,Credit Card,2020-07-29,242125,120,30052,329067,Charged-off,90+,bad,High,2096,0.7357924070174159
200,48,198052,West,Credit Card,Credit Card,2022-05-07,285325,0,31317,196039,Current,Current,good,low,1449,1.4554501910334168
201,55,47329,West,Loan,Auto Loan,2021-01-20,338910,35,9661,427966,Delinquent,30-60,good,medium,1921,0.7919087030278106
202,58,155732,South,Savings,Auto Loan,2019-07-05,609072,0,1213,90332,Current,Current,good,low,2486,6.742593986627109
203,44,26015,South,Current,Personal Loan,2020-06-10,640518,35,29619,452640,Delinquent,30-60,good,medium,2145,1.4150715800636269
204,42,63625,West,Loan,Mortgage,2017-06-10,279257,35,12356,128591,Delinquent,30-60,good,medium,3241,2.171668312712398
205,46,131549,South,Loan,Credit Card,2017-06-16,523390,0,31973,149407,Current,Current,good,low,3235,3.503115650538462
206,38,117526,East,Loan,Mortgage,2023-11-27,32550,10,29350,495177,Delinquent,0-30,good,low,880,0.0657340708473939
207,23,163402,West,Savings,Credit Card,2021-10-29,310491,50,5152,352784,Delinquent,30-60,good,medium,1639,0.8801164451902581
208,31,90549,East,Loan,Personal Loan,2019-01-02,331790,50,9669,80185,Delinquent,30-60,good,medium,2670,4.137806322878344
209,29,144861,East,Credit Card,Auto Loan,2024-05-24,74466,0,14542,312810,Current,Current,good,low,701,0.2380550493910041
210,53,195587,East,Savings,Mortgage,2018-09-25,797129,0,8171,394506,Current,Current,good,low,2769,2.020575098984553
211,46,76681,West,Loan,Mortgage,2022-07-25,606088,20,2001,342347,Delinquent,0-30,good,low,1370,1.7703908607348684
212,56,142931,East,Credit Card,Personal Loan,2024-07-25,264803,10,15733,372895,Delinquent,0-30,good,low,639,0.7101275157886269
213,24,119672,North,Savings,Credit Card,2020-07-08,53995,70,45840,22828,Charged-off,60-90,bad,High,2117,2.365297003679692
214,22,84719,East,Savings,Credit Card,2022-08-28,592101,50,22139,240120,Delinquent,30-60,good,medium,1336,2.4658545727136434
215,28,191745,North,Current,Mortgage,2019-04-01,556686,35,23565,254774,Delinquent,30-60,good,medium,2581,2.185018879477498
216,27,80722,West,Savings,Mortgage,2025-01-19,24912,10,29161,322592,Delinquent,0-30,good,low,461,0.0772244816982442
217,56,26536,North,Savings,Auto Loan,2019-06-28,60249,95,37213,60609,Charged-off,90+,bad,High,2493,0.9940602880760284
218,54,163194,East,Current,Personal Loan,2019-05-16,19682,35,39747,408285,Delinquent,30-60,good,medium,2536,0.0482065224046928
219,60,191467,North,Loan,Credit Card,2017-01-23,749626,120,31265,85351,Charged-off,90+,bad,High,3379,8.78286136073391
220,39,81883,North,Current,Personal Loan,2020-12-12,598611,10,3493,38070,Delinquent,0-30,good,low,1960,15.723955870764382
221,49,141782,North,Credit Card,Personal Loan,2023-10-28,144944,120,44362,265373,Charged-off,90+,bad,High,910,0.5461897027956876
222,59,76532,West,Loan,Credit Card,2017-05-25,192889,120,14705,146837,Charged-off,90+,bad,High,3257,1.3136266744757792
223,26,151916,West,Savings,Credit Card,2021-12-06,562843,35,14523,377190,Delinquent,30-60,good,medium,1601,1.492200217397068
