cust_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket,risk_flag,risk_level,vintage_days,utilization
21,24,29864,West,"Credit Card","Personal Loan",2023-06-21,197513,0,12915,88315,Current,Current,good,low,1037,2.23646
22,23,98656,West,Loan,"Auto Loan",2017-03-15,182924,0,48585,172566,Current,Current,good,low,3326,1.06002
23,41,55592,North,Current,"Credit Card",2021-07-13,400177,20,44585,94123,Delinquent,0-30,good,low,1745,4.25164
24,60,151723,East,Loan,Mortgage,2023-12-01,5780,50,47960,373820,Delinquent,30-60,good,medium,874,0.015462
25,23,173598,East,Savings,Mortgage,2018-07-06,705915,0,25706,272588,Current,Current,good,low,2848,2.58968
26,41,113241,West,Current,"Personal Loan",2017-09-27,744535,35,24671,107678,Delinquent,30-60,good,medium,3130,6.91446
27,28,181402,West,Savings,Mortgage,2025-01-10,795372,0,30665,147859,Current,Current,good,low,468,5.37926
28,62,124357,East,Savings,"Personal Loan",2017-05-08,338680,0,35472,333383,Current,Current,good,low,3272,1.01589
29,56,145336,South,Current,"Credit Card",2018-03-18,432534,0,8123,38126,Current,Current,good,low,2958,11.3449
30,49,69779,North,Current,"Personal Loan",2021-09-08,338029,35,18539,103329,Delinquent,30-60,good,medium,1688,3.27139
31,59,149408,East,Current,"Personal Loan",2019-11-11,418889,50,1874,144938,Delinquent,30-60,good,medium,2355,2.89013
32,54,104784,South,Loan,"Personal Loan",2023-01-26,757522,0,30438,152381,Current,Current,good,low,1183,4.97124
33,42,97086,North,Loan,Mortgage,2018-01-24,746905,0,16502,207384,Current,Current,good,low,3011,3.60156
34,51,169047,West,Loan,"Credit Card",2017-10-02,396098,50,10447,402706,Delinquent,30-60,good,medium,3125,0.983591
35,48,67397,North,Loan,Mortgage,2024-10-09,337309,120,30604,297274,Charged-off,90+,bad,High,561,1.13467
36,55,138531,West,Savings,Mortgage,2017-05-30,146270,0,9703,481982,Current,Current,good,low,3250,0.303476
37,54,137832,North,"Credit Card","Auto Loan",2021-12-06,524446,10,10819,327783,Delinquent,0-30,good,low,1599,1.59998
38,33,103233,East,Loan,"Credit Card",2020-10-17,354888,10,41742,320575,Delinquent,0-30,good,low,2014,1.10704
39,61,54102,North,Savings,"Auto Loan",2022-09-14,167331,20,40122,396370,Delinquent,0-30,good,low,1317,0.422159
40,24,112228,South,Loan,"Personal Loan",2018-06-26,508219,10,43910,118874,Delinquent,0-30,good,low,2858,4.27527
41,63,70556,North,"Credit Card","Auto Loan",2020-07-28,609152,0,45185,358846,Current,Current,good,low,2095,1.69753
42,26,81402,South,"Credit Card","Credit Card",2022-05-23,498733,10,37196,335755,Delinquent,0-30,good,low,1431,1.48541
43,21,149744,South,Loan,"Personal Loan",2017-11-30,222745,10,18120,498384,Delinquent,0-30,good,low,3066,0.446934
44,32,69936,South,"Credit Card","Personal Loan",2019-01-21,796046,35,14413,192824,Delinquent,30-60,good,medium,2649,4.12836
45,55,130363,North,Savings,"Credit Card",2020-05-14,440628,50,41687,196314,Delinquent,30-60,good,medium,2170,2.24451
46,31,195057,South,"Credit Card","Personal Loan",2023-02-25,699579,95,47090,187537,Charged-off,90+,bad,High,1153,3.73035
47,43,156241,South,Loan,"Credit Card",2018-10-30,496114,95,12151,52714,Charged-off,90+,bad,High,2732,9.41143
48,34,133699,East,Savings,"Auto Loan",2024-09-25,39616,0,27267,464786,Current,Current,good,low,575,0.0852349
49,39,68772,North,Current,"Credit Card",2017-07-23,414032,0,45743,369185,Current,Current,good,low,3196,1.12148
50,57,34814,South,Savings,"Auto Loan",2018-03-25,666568,20,15578,83158,Delinquent,0-30,good,low,2951,8.01568
51,36,61881,West,Savings,"Credit Card",2024-06-28,579257,0,21605,426770,Current,Current,good,low,664,1.3573
52,64,37232,East,"Credit Card","Personal Loan",2018-12-26,445210,0,1167,158391,Current,Current,good,low,2675,2.81083
53,48,115194,South,Current,"Auto Loan",2019-04-02,752878,10,47431,117645,Delinquent,0-30,good,low,2578,6.39957
54,51,110657,East,Current,"Personal Loan",2023-07-28,634115,70,2769,183087,Charged-off,60-90,bad,High,1000,3.46346
55,27,162791,North,"Credit Card",Mortgage,2018-09-28,709685,0,37242,248320,Current,Current,good,low,2764,2.85795
56,47,56284,West,Current,"Credit Card",2017-06-19,379814,70,40329,201531,Charged-off,60-90,bad,High,3230,1.88464
57,37,113133,South,Loan,Mortgage,2022-11-07,517007,0,44502,465997,Current,Current,good,low,1263,1.10946
58,27,51563,South,"Credit Card","Auto Loan",2024-09-11,480501,0,42096,162533,Current,Current,good,low,589,2.95633
59,35,44654,West,"Credit Card","Auto Loan",2017-03-30,792793,0,22266,156501,Current,Current,good,low,3311,5.06574
60,60,90463,North,Savings,Mortgage,2021-12-09,86130,70,42057,48017,Charged-off,60-90,bad,High,1596,1.79374
61,32,51563,North,Loan,"Personal Loan",2022-09-02,258414,0,49617,455355,Current,Current,good,low,1329,0.5675
62,28,144172,East,"Credit Card","Auto Loan",2019-05-11,658033,0,41290,121772,Current,Current,good,low,2539,5.40381
63,22,124628,East,Loan,Mortgage,2022-10-29,64214,0,37170,476005,Current,Current,good,low,1272,0.134902
64,64,101816,South,Savings,Mortgage,2019-04-28,39320,10,14430,235032,Delinquent,0-30,good,low,2552,0.167296
65,58,165647,West,"Credit Card","Auto Loan",2023-03-04,696398,20,39092,178487,Delinquent,0-30,good,low,1146,3.90167
66,46,129756,South,"Credit Card","Personal Loan",2024-04-21,373472,35,18657,336415,Delinquent,30-60,good,medium,732,1.11015
67,41,103234,South,Loan,"Auto Loan",2019-06-02,693967,20,29631,152067,Delinquent,0-30,good,low,2517,4.56356
68,33,62297,South,"Credit Card","Personal Loan",2024-01-29,87033,0,1495,40765,Current,Current,good,low,815,2.13499
69,39,101516,East,"Credit Card","Personal Loan",2022-10-31,688066,20,24676,300758,Delinquent,0-30,good,low,1270,2.28777
70,38,52979,West,"Credit Card","Credit Card",2018-06-18,253868,0,35899,295133,Current,Current,good,low,2866,0.860182
71,22,122234,North,"Credit Card","Personal Loan",2022-10-22,210727,10,6662,278449,Delinquent,0-30,good,low,1279,0.756788
72,62,120922,West,Current,Mortgage,2019-03-16,332570,0,16511,223037,Current,Current,good,low,2595,1.4911
73,48,178637,West,"Credit Card","Credit Card",2022-10-17,788486,0,15690,154585,Current,Current,good,low,1284,5.10066
74,43,81022,West,"Credit Card","Auto Loan",2024-02-20,741965,70,4777,152762,Charged-off,60-90,bad,High,793,4.857
75,24,141449,West,"Credit Card",Mortgage,2018-08-24,710080,95,6567,312987,Charged-off,90+,bad,High,2799,2.26872
76,24,122930,West,Savings,Mortgage,2020-03-26,251249,70,41914,359593,Charged-off,60-90,bad,High,2219,0.698704
77,32,38325,East,"Credit Card",Mortgage,2022-04-20,228503,50,10104,163647,Delinquent,30-60,good,medium,1464,1.39632
78,42,99904,East,Loan,"Auto Loan",2022-09-14,612325,50,17021,108081,Delinquent,30-60,good,medium,1317,5.66543
79,46,39116,West,Current,Mortgage,2018-06-21,575683,0,5771,112082,Current,Current,good,low,2863,5.13627
80,60,120482,North,"Credit Card","Personal Loan",2023-12-26,564859,35,10619,179184,Delinquent,30-60,good,medium,849,3.1524
81,62,33465,West,"Credit Card","Credit Card",2020-03-05,294678,120,48643,325876,Charged-off,90+,bad,High,2240,0.904264
82,55,80306,South,Loan,"Credit Card",2020-07-13,718227,35,44843,355367,Delinquent,30-60,good,medium,2110,2.02109
83,24,131399,South,Savings,"Personal Loan",2021-10-17,146280,120,22130,357878,Charged-off,90+,bad,High,1649,0.408743
84,32,75889,North,Current,"Credit Card",2024-07-30,252968,0,44325,214594,Current,Current,good,low,632,1.17882
85,24,25400,North,Loan,"Credit Card",2017-03-07,57372,50,19101,159971,Delinquent,30-60,good,medium,3334,0.35864
86,51,91317,East,Loan,"Credit Card",2018-01-17,448400,20,45249,128755,Delinquent,0-30,good,low,3018,3.48258
87,27,76664,North,Current,"Credit Card",2020-10-28,541297,50,43439,451017,Delinquent,30-60,good,medium,2003,1.20017
88,30,142955,South,Loan,"Personal Loan",2022-05-22,651659,0,46391,215997,Current,Current,good,low,1432,3.01698
89,44,144616,North,Savings,Mortgage,2021-11-22,392851,0,40744,352047,Current,Current,good,low,1613,1.1159
90,35,29851,North,Current,"Auto Loan",2017-12-08,798549,20,6578,467221,Delinquent,0-30,good,low,3058,1.70915
91,59,172380,North,Current,Mortgage,2019-11-01,142503,35,35730,182190,Delinquent,30-60,good,medium,2365,0.782167
92,40,168460,West,"Credit Card","Credit Card",2023-02-16,529029,0,29356,373865,Current,Current,good,low,1162,1.41503
93,27,129089,South,"Credit Card","Credit Card",2017-10-31,729840,70,23326,147943,Charged-off,60-90,bad,High,3096,4.93325
94,33,42871,West,Loan,"Personal Loan",2019-02-26,149442,0,12437,370648,Current,Current,good,low,2613,0.403191
95,48,75791,North,Savings,Mortgage,2022-06-28,316797,0,34053,350739,Current,Current,good,low,1395,0.903227
96,59,128258,South,Savings,Mortgage,2023-07-28,724649,70,41007,476670,Charged-off,60-90,bad,High,1000,1.52023
97,38,179239,South,Current,"Auto Loan",2019-08-12,97448,0,27492,408829,Current,Current,good,low,2446,0.238359
98,31,147932,North,Current,Mortgage,2025-02-04,713203,0,33293,485140,Current,Current,good,low,443,1.4701
99,56,30525,West,Current,"Auto Loan",2020-05-11,735357,20,23167,273064,Delinquent,0-30,good,low,2173,2.69298
100,56,43390,South,Current,"Personal Loan",2018-06-18,144022,0,24807,336721,Current,Current,good,low,2866,0.427719
101,22,173528,East,Loan,"Personal Loan",2020-12-04,282077,20,17448,373397,Delinquent,0-30,good,low,1966,0.755435
102,37,132701,North,Savings,"Credit Card",2021-06-20,153314,35,14905,130972,Delinquent,30-60,good,medium,1768,1.17059
103,26,182125,East,Current,"Auto Loan",2021-04-03,732486,50,39141,469907,Delinquent,30-60,good,medium,1846,1.55879
104,61,27603,North,Current,"Auto Loan",2024-02-02,714709,50,10947,33782,Delinquent,30-60,good,medium,811,21.1565
105,43,149152,West,Savings,"Auto Loan",2020-11-19,623463,20,10297,182622,Delinquent,0-30,good,low,1981,3.41395
106,36,111163,East,"Credit Card",Mortgage,2021-07-04,773122,50,14540,230640,Delinquent,30-60,good,medium,1754,3.35207
107,61,177065,West,Savings,"Personal Loan",2019-09-23,437656,20,10739,294006,Delinquent,0-30,good,low,2404,1.4886
108,46,156223,East,Current,"Auto Loan",2020-12-11,724385,35,13773,77684,Delinquent,30-60,good,medium,1959,9.32476
109,21,73971,North,Loan,"Personal Loan",2022-05-05,273840,0,14600,122108,Current,Current,good,low,1449,2.2426
110,56,153894,South,"Credit Card","Auto Loan",2020-11-26,44401,0,18518,112810,Current,Current,good,low,1974,0.393591
111,50,179372,South,"Credit Card","Personal Loan",2024-12-03,643034,0,47853,392814,Current,Current,good,low,506,1.63699
112,22,127136,North,Savings,Mortgage,2021-09-23,450119,70,41038,459896,Charged-off,60-90,bad,High,1673,0.978741
113,40,95490,North,Loan,"Credit Card",2023-09-10,474880,50,39384,250228,Delinquent,30-60,good,medium,956,1.89779
114,25,83954,West,Savings,"Credit Card",2020-05-12,400660,10,1695,324773,Delinquent,0-30,good,low,2172,1.23366
115,51,88579,North,"Credit Card",Mortgage,2019-07-29,256270,120,8401,113102,Charged-off,90+,bad,High,2460,2.26583
116,28,51811,South,Savings,"Auto Loan",2021-12-26,773086,35,7815,150255,Delinquent,30-60,good,medium,1579,5.14516
117,50,120583,North,"Credit Card","Auto Loan",2018-08-04,593750,70,8241,372332,Charged-off,60-90,bad,High,2819,1.59468
118,59,62842,West,Loan,"Credit Card",2020-04-21,798053,35,35534,407836,Delinquent,30-60,good,medium,2193,1.9568
119,22,199032,North,"Credit Card",Mortgage,2019-10-23,44069,0,8415,325953,Current,Current,good,low,2374,0.1352
120,33,181986,North,Current,"Credit Card",2017-09-21,52249,20,34572,167062,Delinquent,0-30,good,low,3136,0.312752
121,24,29269,East,Current,"Credit Card",2021-08-09,455355,0,2296,375717,Current,Current,good,low,1718,1.21196
122,28,196800,North,Current,Mortgage,2019-12-15,495326,95,41459,281945,Charged-off,90+,bad,High,2321,1.75682
123,59,104855,West,Savings,"Credit Card",2023-10-18,651656,35,18342,405434,Delinquent,30-60,good,medium,918,1.6073
124,45,179295,West,Savings,Mortgage,2018-09-14,754688,70,23352,43930,Charged-off,60-90,bad,High,2778,17.1793
125,27,115704,West,Current,"Personal Loan",2017-12-07,734926,0,19936,187765,Current,Current,good,low,3059,3.91407
126,34,54427,North,"Credit Card",Mortgage,2019-11-03,796178,0,34536,27629,Current,Current,good,low,2363,28.8167
127,49,127861,South,Current,"Credit Card",2019-08-19,359582,70,45403,344701,Charged-off,60-90,bad,High,2439,1.04317
128,41,147771,North,"Credit Card",Mortgage,2022-01-30,699929,95,15386,325232,Charged-off,90+,bad,High,1544,2.15209
129,57,63138,South,Loan,Mortgage,2019-07-25,386202,0,35955,30256,Current,Current,good,low,2464,12.7645
130,53,88518,North,"Credit Card","Credit Card",2025-03-16,309969,0,9214,339615,Current,Current,good,low,403,0.912707
131,61,99757,West,"Credit Card","Credit Card",2021-07-09,711884,0,12070,262130,Current,Current,good,low,1749,2.71577
132,45,126465,East,Savings,"Personal Loan",2020-03-30,504440,50,1790,485541,Delinquent,30-60,good,medium,2215,1.03892
133,34,193282,South,"Credit Card",Mortgage,2022-08-14,469229,0,28786,124905,Current,Current,good,low,1348,3.75669
134,29,154038,East,"Credit Card","Auto Loan",2022-09-02,5497,10,20053,352681,Delinquent,0-30,good,low,1329,0.0155863
135,35,71026,West,Savings,"Credit Card",2025-03-10,474264,70,46537,252239,Charged-off,60-90,bad,High,409,1.88022
136,27,177229,South,"Credit Card",Mortgage,2019-08-13,375901,0,36551,126288,Current,Current,good,low,2445,2.97654
137,22,179583,South,Savings,"Personal Loan",2021-07-25,104800,0,33094,142859,Current,Current,good,low,1733,0.73359
138,51,114178,West,Current,"Credit Card",2024-08-31,527685,95,38274,167802,Charged-off,90+,bad,High,600,3.14469
139,27,198526,East,Current,Mortgage,2020-08-15,687860,0,43904,298525,Current,Current,good,low,2077,2.3042
140,61,54998,North,Loan,"Credit Card",2020-01-14,689687,120,34957,496045,Charged-off,90+,bad,High,2291,1.39037
141,31,127015,South,Loan,"Auto Loan",2024-01-16,609068,0,40689,402259,Current,Current,good,low,828,1.51412
142,33,189369,East,"Credit Card",Mortgage,2022-06-05,260880,20,30335,490637,Delinquent,0-30,good,low,1418,0.531717
143,33,158040,East,Savings,Mortgage,2021-08-25,741049,20,2693,230492,Delinquent,0-30,good,low,1702,3.21507
144,46,62507,North,"Credit Card",Mortgage,2021-07-04,44763,50,39798,270855,Delinquent,30-60,good,medium,1754,0.165266
145,63,189369,South,"Credit Card",Mortgage,2023-02-09,526524,35,9171,402555,Delinquent,30-60,good,medium,1169,1.30796
146,28,184508,North,"Credit Card","Personal Loan",2017-01-31,107128,0,30956,358577,Current,Current,good,low,3369,0.298759
147,34,78078,North,"Credit Card","Auto Loan",2022-08-23,172068,0,14482,438058,Current,Current,good,low,1339,0.392797
148,22,111734,North,"Credit Card","Auto Loan",2018-10-03,763534,10,9377,176643,Delinquent,0-30,good,low,2759,4.32247
149,62,69630,South,Savings,"Credit Card",2023-06-06,534835,0,29131,85115,Current,Current,good,low,1052,6.28368
150,35,78005,South,"Credit Card","Personal Loan",2019-01-23,205207,50,22387,435120,Delinquent,30-60,good,medium,2647,0.47161
151,44,47422,West,"Credit Card","Auto Loan",2022-06-18,267001,20,32154,134338,Delinquent,0-30,good,low,1405,1.98753
152,54,176950,East,Savings,Mortgage,2022-09-13,500843,35,24938,434084,Delinquent,30-60,good,medium,1318,1.15379
153,24,84589,East,Savings,"Personal Loan",2020-10-03,579441,0,42564,69098,Current,Current,good,low,2028,8.38579
154,38,165916,East,Loan,Mortgage,2021-07-08,637344,0,29624,249853,Current,Current,good,low,1750,2.55088
155,45,184178,North,Current,"Credit Card",2024-04-13,350202,70,49445,457994,Charged-off,60-90,bad,High,740,0.764643
156,44,67454,East,Savings,Mortgage,2023-05-08,689142,0,36366,122537,Current,Current,good,low,1081,5.62395
157,26,55491,East,Savings,"Auto Loan",2022-04-20,661423,50,32323,47153,Delinquent,30-60,good,medium,1464,14.0272
158,54,145126,West,Current,"Credit Card",2017-11-27,295322,20,11496,414538,Delinquent,0-30,good,low,3069,0.712412
159,58,137214,South,Loan,"Auto Loan",2022-06-20,687342,120,36321,51098,Charged-off,90+,bad,High,1403,13.4514
160,23,161336,North,Current,"Credit Card",2021-06-11,542214,0,26543,22881,Current,Current,good,low,1777,23.6971
161,39,40044,West,Savings,Mortgage,2019-01-23,193233,0,13399,214655,Current,Current,good,low,2647,0.900203
162,56,65137,West,Current,Mortgage,2018-02-06,46752,95,42158,338963,Charged-off,90+,bad,High,2998,0.137927
163,39,47202,West,Loan,"Personal Loan",2025-01-21,259716,0,27110,67635,Current,Current,good,low,457,3.83996
164,48,143323,North,Current,"Personal Loan",2017-01-23,49618,20,12917,338013,Delinquent,0-30,good,low,3377,0.146793
165,30,32638,West,Savings,"Personal Loan",2018-09-11,736499,0,32412,98243,Current,Current,good,low,2781,7.49671
166,38,91672,North,Savings,Mortgage,2017-08-24,695477,10,28699,228866,Delinquent,0-30,good,low,3164,3.0388
167,24,122769,North,Loan,Mortgage,2023-12-06,651276,120,48030,303071,Charged-off,90+,bad,High,869,2.14892
168,32,110908,East,Savings,"Credit Card",2024-08-31,103620,0,30501,360768,Current,Current,good,low,600,0.287221
169,47,127091,West,Savings,Mortgage,2022-10-19,86401,0,47648,483230,Current,Current,good,low,1282,0.178799
170,49,136553,East,Loan,"Auto Loan",2018-08-31,504517,120,13811,185536,Charged-off,90+,bad,High,2792,2.71924
171,32,142414,East,"Credit Card",Mortgage,2022-09-29,726947,0,26414,454642,Current,Current,good,low,1302,1.59894
172,31,46399,West,Savings,Mortgage,2018-12-14,642302,95,33950,77891,Charged-off,90+,bad,High,2687,8.24616
173,24,50672,South,Loan,Mortgage,2020-05-04,312870,35,17832,131262,Delinquent,30-60,good,medium,2180,2.38355
174,44,112319,South,"Credit Card","Auto Loan",2020-06-10,151192,70,12120,22710,Charged-off,60-90,bad,High,2143,6.65751
175,46,77113,West,Current,"Personal Loan",2024-09-11,305501,10,20386,72625,Delinquent,0-30,good,low,589,4.20655
176,48,125872,West,Loan,Mortgage,2017-05-16,374827,0,11529,419950,Current,Current,good,low,3264,0.892551
177,24,124190,North,"Credit Card",Mortgage,2024-04-06,177609,35,18956,393842,Delinquent,30-60,good,medium,747,0.450965
178,56,43041,North,Loan,Mortgage,2017-04-12,463332,35,9384,417655,Delinquent,30-60,good,medium,3298,1.10937
179,35,31235,North,"Credit Card","Auto Loan",2017-06-20,13286,0,45683,328726,Current,Current,good,low,3229,0.0404166
180,42,49409,North,"Credit Card",Mortgage,2021-07-22,670703,0,27552,222082,Current,Current,good,low,1736,3.02007
181,44,35926,South,"Credit Card","Personal Loan",2020-01-29,734763,0,3652,324744,Current,Current,good,low,2276,2.26259
182,44,126850,West,"Credit Card","Auto Loan",2024-08-18,743256,50,38721,488862,Delinquent,30-60,good,medium,613,1.52038
183,57,179652,North,Savings,"Personal Loan",2021-01-30,266815,35,21035,315977,Delinquent,30-60,good,medium,1909,0.844413
184,25,85853,West,Savings,"Personal Loan",2018-09-10,442137,0,40954,104168,Current,Current,good,low,2782,4.24446
185,26,105362,North,Loan,Mortgage,2021-08-14,541995,0,30211,480920,Current,Current,good,low,1713,1.127
186,30,57166,West,Current,Mortgage,2018-11-10,155298,0,15394,143427,Current,Current,good,low,2721,1.08277
187,23,29837,South,Current,"Auto Loan",2018-09-20,266477,10,20213,24775,Delinquent,0-30,good,low,2772,10.7559
188,58,78738,South,Savings,"Credit Card",2024-06-19,762928,50,12718,61502,Delinquent,30-60,good,medium,673,12.4049
189,54,118701,North,"Credit Card","Credit Card",2022-01-14,274629,0,30740,229655,Current,Current,good,low,1560,1.19583
190,26,180056,West,Loan,"Credit Card",2021-02-25,706103,0,30932,405637,Current,Current,good,low,1883,1.74073
191,30,142736,West,Current,"Credit Card",2017-10-24,583767,70,16144,471956,Charged-off,60-90,bad,High,3103,1.23691
192,36,72456,East,Loan,"Personal Loan",2024-09-04,637422,0,9032,398771,Current,Current,good,low,596,1.59847
193,49,140210,West,"Credit Card","Credit Card",2021-09-24,623080,0,49732,244410,Current,Current,good,low,1672,2.54932
194,23,92236,North,"Credit Card","Auto Loan",2020-01-05,106875,50,29945,79574,Delinquent,30-60,good,medium,2300,1.34309
195,31,100346,South,Loan,"Personal Loan",2023-11-06,512185,0,26787,305410,Current,Current,good,low,899,1.67704
196,57,118553,West,Current,Mortgage,2018-05-27,737520,50,38039,250115,Delinquent,30-60,good,medium,2888,2.94872
197,24,196022,North,Current,"Credit Card",2023-05-28,743550,0,2782,249654,Current,Current,good,low,1061,2.97832
198,24,34726,West,Current,"Credit Card",2017-04-23,553558,20,44286,23857,Delinquent,0-30,good,low,3287,23.2032
199,44,121098,East,"Credit Card","Credit Card",2020-07-29,242125,120,30052,329067,Charged-off,90+,bad,High,2094,0.735792
200,48,198052,West,"Credit Card","Credit Card",2022-05-07,285325,0,31317,196039,Current,Current,good,low,1447,1.45545
201,55,47329,West,Loan,"Auto Loan",2021-01-20,338910,35,9661,427966,Delinquent,30-60,good,medium,1919,0.791909
202,58,155732,South,Savings,"Auto Loan",2019-07-05,609072,0,1213,90332,Current,Current,good,low,2484,6.74259
203,44,26015,South,Current,"Personal Loan",2020-06-10,640518,35,29619,452640,Delinquent,30-60,good,medium,2143,1.41507
204,42,63625,West,Loan,Mortgage,2017-06-10,279257,35,12356,128591,Delinquent,30-60,good,medium,3239,2.17167
205,46,131549,South,Loan,"Credit Card",2017-06-16,523390,0,31973,149407,Current,Current,good,low,3233,3.50312
206,38,117526,East,Loan,Mortgage,2023-11-27,32550,10,29350,495177,Delinquent,0-30,good,low,878,0.0657341
207,23,163402,West,Savings,"Credit Card",2021-10-29,310491,50,5152,352784,Delinquent,30-60,good,medium,1637,0.880116
208,31,90549,East,Loan,"Personal Loan",2019-01-02,331790,50,9669,80185,Delinquent,30-60,good,medium,2668,4.13781
209,29,144861,East,"Credit Card","Auto Loan",2024-05-24,74466,0,14542,312810,Current,Current,good,low,699,0.238055
210,53,195587,East,Savings,Mortgage,2018-09-25,797129,0,8171,394506,Current,Current,good,low,2767,2.02058
211,46,76681,West,Loan,Mortgage,2022-07-25,606088,20,2001,342347,Delinquent,0-30,good,low,1368,1.77039
212,56,142931,East,"Credit Card","Personal Loan",2024-07-25,264803,10,15733,372895,Delinquent,0-30,good,low,637,0.710128
213,24,119672,North,Savings,"Credit Card",2020-07-08,53995,70,45840,22828,Charged-off,60-90,bad,High,2115,2.3653
214,22,84719,East,Savings,"Credit Card",2022-08-28,592101,50,22139,240120,Delinquent,30-60,good,medium,1334,2.46585
215,28,191745,North,Current,Mortgage,2019-04-01,556686,35,23565,254774,Delinquent,30-60,good,medium,2579,2.18502
216,27,80722,West,Savings,Mortgage,2025-01-19,24912,10,29161,322592,Delinquent,0-30,good,low,459,0.0772245
217,56,26536,North,Savings,"Auto Loan",2019-06-28,60249,95,37213,60609,Charged-off,90+,bad,High,2491,0.99406
218,54,163194,East,Current,"Personal Loan",2019-05-16,19682,35,39747,408285,Delinquent,30-60,good,medium,2534,0.0482065
219,60,191467,North,Loan,"Credit Card",2017-01-23,749626,120,31265,85351,Charged-off,90+,bad,High,3377,8.78286
220,39,81883,North,Current,"Personal Loan",2020-12-12,598611,10,3493,38070,Delinquent,0-30,good,low,1958,15.724
221,49,141782,North,"Credit Card","Personal Loan",2023-10-28,144944,120,44362,265373,Charged-off,90+,bad,High,908,0.54619
222,59,76532,West,Loan,"Credit Card",2017-05-25,192889,120,14705,146837,Charged-off,90+,bad,High,3255,1.31363
223,26,151916,West,Savings,"Credit Card",2021-12-06,562843,35,14523,377190,Delinquent,30-60,good,medium,1599,1.4922
224,30,75479,North,Current,Mortgage,2017-05-10,239685,0,37212,204100,Current,Current,good,low,3270,1.17435
225,61,156473,South,Savings,"Credit Card",2018-03-12,478725,0,49699,433604,Current,Current,good,low,2964,1.10406
226,62,181308,West,Loan,"Auto Loan",2017-06-18,548976,20,15019,409075,Delinquent,0-30,good,low,3231,1.34199
227,25,136892,East,"Credit Card","Credit Card",2018-02-01,59471,0,45858,120930,Current,Current,good,low,3003,0.49178
228,44,41410,East,Savings,"Personal Loan",2019-04-15,440371,0,39029,213593,Current,Current,good,low,2565,2.06173
229,61,64288,South,Savings,"Credit Card",2019-02-13,290532,10,17176,161324,Delinquent,0-30,good,low,2626,1.80092
230,42,180000,South,"Credit Card","Auto Loan",2021-01-16,159213,70,46770,391774,Charged-off,60-90,bad,High,1923,0.40639
231,46,162875,South,"Credit Card","Credit Card",2019-05-26,673235,0,45768,326092,Current,Current,good,low,2524,2.06456
232,57,152481,North,Savings,"Credit Card",2021-06-21,419078,50,3407,51500,Delinquent,30-60,good,medium,1767,8.13744
233,49,139093,South,"Credit Card","Credit Card",2023-06-19,543390,70,37219,380564,Charged-off,60-90,bad,High,1039,1.42785
