customer_id,age,income,region,account_type,loan_type,account_open_date,balance,days_past_due,monthly_payment,credit_limit,status,bucket
39,61,54102,North,Savings,Auto Loan,2022-09-14,167331,20,40122,396370,Delinquent,0-30
40,24,112228,South,Loan,Personal Loan,2018-06-26,508219,10,43910,118874,Delinquent,0-30
41,63,70556,North,Credit Card,Auto Loan,2020-07-28,609152,0,45185,358846,Current,Current
42,26,81402,South,Credit Card,Credit Card,2022-05-23,498733,10,37196,335755,Delinquent,0-30
43,21,149744,South,Loan,Personal Loan,2017-11-30,222745,10,18120,498384,Delinquent,0-30
44,32,69936,South,Credit Card,Personal Loan,2019-01-21,796046,35,14413,192824,Delinquent,30-60
45,55,130363,North,Savings,Credit Card,2020-05-14,440628,50,41687,196314,Delinquent,30-60
46,31,195057,South,Credit Card,Personal Loan,2023-02-25,699579,95,47090,187537,Charged-off,90+
47,43,156241,South,Loan,Credit Card,2018-10-30,496114,95,12151,52714,Charged-off,90+
48,34,133699,East,Savings,Auto Loan,2024-09-25,39616,0,27267,464786,Current,Current
49,39,68772,North,Current,Credit Card,2017-07-23,414032,0,45743,369185,Current,Current
50,57,34814,South,Savings,Auto Loan,2018-03-25,666568,20,15578,83158,Delinquent,0-30
51,36,61881,West,Savings,Credit Card,2024-06-28,579257,0,21605,426770,Current,Current
52,64,37232,East,Credit Card,Personal Loan,2018-12-26,445210,0,1167,158391,Current,Current
53,48,115194,South,Current,Auto Loan,2019-04-02,752878,10,47431,117645,Delinquent,0-30
54,51,110657,East,Current,Personal Loan,2023-07-28,634115,70,2769,183087,Charged-off,60-90
55,27,162791,North,Credit Card,Mortgage,2018-09-28,709685,0,37242,248320,Current,Current
56,47,56284,West,Current,Credit Card,2017-06-19,379814,70,40329,201531,Charged-off,60-90
57,37,113133,South,Loan,Mortgage,2022-11-07,517007,0,44502,465997,Current,Current
58,27,51563,South,Credit Card,Auto Loan,2024-09-11,480501,0,42096,162533,Current,Current
59,35,44654,West,Credit Card,Auto Loan,2017-03-30,792793,0,22266,156501,Current,Current
60,60,90463,North,Savings,Mortgage,2021-12-09,86130,70,42057,48017,Charged-off,60-90
61,32,51563,North,Loan,Personal Loan,2022-09-02,258414,0,49617,455355,Current,Current
62,28,144172,East,Credit Card,Auto Loan,2019-05-11,658033,0,41290,121772,Current,Current
63,22,124628,East,Loan,Mortgage,2022-10-29,64214,0,37170,476005,Current,Current
64,64,101816,South,Savings,Mortgage,2019-04-28,39320,10,14430,235032,Delinquent,0-30
65,58,165647,West,Credit Card,Auto Loan,2023-03-04,696398,20,39092,178487,Delinquent,0-30
66,46,129756,South,Credit Card,Personal Loan,2024-04-21,373472,35,18657,336415,Delinquent,30-60
67,41,103234,South,Loan,Auto Loan,2019-06-02,693967,20,29631,152067,Delinquent,0-30
68,33,62297,South,Credit Card,Personal Loan,2024-01-29,87033,0,1495,40765,Current,Current
69,39,101516,East,Credit Card,Personal Loan,2022-10-31,688066,20,24676,300758,Delinquent,0-30
70,38,52979,West,Credit Card,Credit Card,2018-06-18,253868,0,35899,295133,Current,Current
71,22,122234,North,Credit Card,Personal Loan,2022-10-22,210727,10,6662,278449,Delinquent,0-30
72,62,120922,West,Current,Mortgage,2019-03-16,332570,0,16511,223037,Current,Current
73,48,178637,West,Credit Card,Credit Card,2022-10-17,788486,0,15690,154585,Current,Current
74,43,81022,West,Credit Card,Auto Loan,2024-02-20,741965,70,4777,152762,Charged-off,60-90
75,24,141449,West,Credit Card,Mortgage,2018-08-24,710080,95,6567,312987,Charged-off,90+
76,24,122930,West,Savings,Mortgage,2020-03-26,251249,70,41914,359593,Charged-off,60-90
77,32,38325,East,Credit Card,Mortgage,2022-04-20,228503,50,10104,163647,Delinquent,30-60
78,42,99904,East,Loan,Auto Loan,2022-09-14,612325,50,17021,108081,Delinquent,30-60
79,46,39116,West,Current,Mortgage,2018-06-21,575683,0,5771,112082,Current,Current
80,60,120482,North,Credit Card,Personal Loan,2023-12-26,564859,35,10619,179184,Delinquent,30-60
81,62,33465,West,Credit Card,Credit Card,2020-03-05,294678,120,48643,325876,Charged-off,90+
82,55,80306,South,Loan,Credit Card,2020-07-13,718227,35,44843,355367,Delinquent,30-60
83,24,131399,South,Savings,Personal Loan,2021-10-17,146280,120,22130,357878,Charged-off,90+
84,32,75889,North,Current,Credit Card,2024-07-30,252968,0,44325,214594,Current,Current
85,24,25400,North,Loan,Credit Card,2017-03-07,57372,50,19101,159971,Delinquent,30-60
86,51,91317,East,Loan,Credit Card,2018-01-17,448400,20,45249,128755,Delinquent,0-30
87,27,76664,North,Current,Credit Card,2020-10-28,541297,50,43439,451017,Delinquent,30-60
88,30,142955,South,Loan,Personal Loan,2022-05-22,651659,0,46391,215997,Current,Current
89,44,144616,North,Savings,Mortgage,2021-11-22,392851,0,40744,352047,Current,Current
90,35,29851,North,Current,Auto Loan,2017-12-08,798549,20,6578,467221,Delinquent,0-30
91,59,172380,North,Current,Mortgage,2019-11-01,142503,35,35730,182190,Delinquent,30-60
92,40,168460,West,Credit Card,Credit Card,2023-02-16,529029,0,29356,373865,Current,Current
93,27,129089,South,Credit Card,Credit Card,2017-10-31,729840,70,23326,147943,Charged-off,60-90
94,33,42871,West,Loan,Personal Loan,2019-02-26,149442,0,12437,370648,Current,Current
95,48,75791,North,Savings,Mortgage,2022-06-28,316797,0,34053,350739,Current,Current
96,59,128258,South,Savings,Mortgage,2023-07-28,724649,70,41007,476670,Charged-off,60-90
97,38,179239,South,Current,Auto Loan,2019-08-12,97448,0,27492,408829,Current,Current
98,31,147932,North,Current,Mortgage,2025-02-04,713203,0,33293,485140,Current,Current
99,56,30525,West,Current,Auto Loan,2020-05-11,735357,20,23167,273064,Delinquent,0-30
100,56,43390,South,Current,Personal Loan,2018-06-18,144022,0,24807,336721,Current,Current
101,22,173528,East,Loan,Personal Loan,2020-12-04,282077,20,17448,373397,Delinquent,0-30
102,37,132701,North,Savings,Credit Card,2021-06-20,153314,35,14905,130972,Delinquent,30-60
103,26,182125,East,Current,Auto Loan,2021-04-03,732486,50,39141,469907,Delinquent,30-60
104,61,27603,North,Current,Auto Loan,2024-02-02,714709,50,10947,33782,Delinquent,30-60
105,43,149152,West,Savings,Auto Loan,2020-11-19,623463,20,10297,182622,Delinquent,0-30
106,36,111163,East,Credit Card,Mortgage,2021-07-04,773122,50,14540,230640,Delinquent,30-60
107,61,177065,West,Savings,Personal Loan,2019-09-23,437656,20,10739,294006,Delinquent,0-30
108,46,156223,East,Current,Auto Loan,2020-12-11,724385,35,13773,77684,Delinquent,30-60
109,21,73971,North,Loan,Personal Loan,2022-05-05,273840,0,14600,122108,Current,Current
110,56,153894,South,Credit Card,Auto Loan,2020-11-26,44401,0,18518,112810,Current,Current
111,50,179372,South,Credit Card,Personal Loan,2024-12-03,643034,0,47853,392814,Current,Current
112,22,127136,North,Savings,Mortgage,2021-09-23,450119,70,41038,459896,Charged-off,60-90
113,40,95490,North,Loan,Credit Card,2023-09-10,474880,50,39384,250228,Delinquent,30-60
114,25,83954,West,Savings,Credit Card,2020-05-12,400660,10,1695,324773,Delinquent,0-30
115,51,88579,North,Credit Card,Mortgage,2019-07-29,256270,120,8401,113102,Charged-off,90+
116,28,51811,South,Savings,Auto Loan,2021-12-26,773086,35,7815,150255,Delinquent,30-60
117,50,120583,North,Credit Card,Auto Loan,2018-08-04,593750,70,8241,372332,Charged-off,60-90
118,59,62842,West,Loan,Credit Card,2020-04-21,798053,35,35534,407836,Delinquent,30-60
119,22,199032,North,Credit Card,Mortgage,2019-10-23,44069,0,8415,325953,Current,Current
120,33,181986,North,Current,Credit Card,2017-09-21,52249,20,34572,167062,Delinquent,0-30
121,24,29269,East,Current,Credit Card,2021-08-09,455355,0,2296,375717,Current,Current
122,28,196800,North,Current,Mortgage,2019-12-15,495326,95,41459,281945,Charged-off,90+
123,59,104855,West,Savings,Credit Card,2023-10-18,651656,35,18342,405434,Delinquent,30-60
124,45,179295,West,Savings,Mortgage,2018-09-14,754688,70,23352,43930,Charged-off,60-90
125,27,115704,West,Current,Personal Loan,2017-12-07,734926,0,19936,187765,Current,Current
126,34,54427,North,Credit Card,Mortgage,2019-11-03,796178,0,34536,27629,Current,Current
127,49,127861,South,Current,Credit Card,2019-08-19,359582,70,45403,344701,Charged-off,60-90
128,41,147771,North,Credit Card,Mortgage,2022-01-30,699929,95,15386,325232,Charged-off,90+
129,57,63138,South,Loan,Mortgage,2019-07-25,386202,0,35955,30256,Current,Current
130,53,88518,North,Credit Card,Credit Card,2025-03-16,309969,0,9214,339615,Current,Current
131,61,99757,West,Credit Card,Credit Card,2021-07-09,711884,0,12070,262130,Current,Current
132,45,126465,East,Savings,Personal Loan,2020-03-30,504440,50,1790,485541,Delinquent,30-60
133,34,193282,South,Credit Card,Mortgage,2022-08-14,469229,0,28786,124905,Current,Current
134,29,154038,East,Credit Card,Auto Loan,2022-09-02,5497,10,20053,352681,Delinquent,0-30
135,35,71026,West,Savings,Credit Card,2025-03-10,474264,70,46537,252239,Charged-off,60-90
136,27,177229,South,Credit Card,Mortgage,2019-08-13,375901,0,36551,126288,Current,Current
137,22,179583,South,Savings,Personal Loan,2021-07-25,104800,0,33094,142859,Current,Current
138,51,114178,West,Current,Credit Card,2024-08-31,527685,95,38274,167802,Charged-off,90+
139,27,198526,East,Current,Mortgage,2020-08-15,687860,0,43904,298525,Current,Current
140,61,54998,North,Loan,Credit Card,2020-01-14,689687,120,34957,496045,Charged-off,90+
141,31,127015,South,Loan,Auto Loan,2024-01-16,609068,0,40689,402259,Current,Current
142,33,189369,East,Credit Card,Mortgage,2022-06-05,260880,20,30335,490637,Delinquent,0-30
143,33,158040,East,Savings,Mortgage,2021-08-25,741049,20,2693,230492,Delinquent,0-30
144,46,62507,North,Credit Card,Mortgage,2021-07-04,44763,50,39798,270855,Delinquent,30-60
145,63,189369,South,Credit Card,Mortgage,2023-02-09,526524,35,9171,402555,Delinquent,30-60
146,28,184508,North,Credit Card,Personal Loan,2017-01-31,107128,0,30956,358577,Current,Current
147,34,78078,North,Credit Card,Auto Loan,2022-08-23,172068,0,14482,438058,Current,Current
148,22,111734,North,Credit Card,Auto Loan,2018-10-03,763534,10,9377,176643,Delinquent,0-30
149,62,69630,South,Savings,Credit Card,2023-06-06,534835,0,29131,85115,Current,Current
150,35,78005,South,Credit Card,Personal Loan,2019-01-23,205207,50,22387,435120,Delinquent,30-60
151,44,47422,West,Credit Card,Auto Loan,2022-06-18,267001,20,32154,134338,Delinquent,0-30
152,54,176950,East,Savings,Mortgage,2022-09-13,500843,35,24938,434084,Delinquent,30-60
153,24,84589,East,Savings,Personal Loan,2020-10-03,579441,0,42564,69098,Current,Current
154,38,165916,East,Loan,Mortgage,2021-07-08,637344,0,29624,249853,Current,Current
155,45,184178,North,Current,Credit Card,2024-04-13,350202,70,49445,457994,Charged-off,60-90
156,44,67454,East,Savings,Mortgage,2023-05-08,689142,0,36366,122537,Current,Current
157,26,55491,East,Savings,Auto Loan,2022-04-20,661423,50,32323,47153,Delinquent,30-60
158,54,145126,West,Current,Credit Card,2017-11-27,295322,20,11496,414538,Delinquent,0-30
159,58,137214,South,Loan,Auto Loan,2022-06-20,687342,120,36321,51098,Charged-off,90+
160,23,161336,North,Current,Credit Card,2021-06-11,542214,0,26543,22881,Current,Current
161,39,40044,West,Savings,Mortgage,2019-01-23,193233,0,13399,214655,Current,Current
162,56,65137,West,Current,Mortgage,2018-02-06,46752,95,42158,338963,Charged-off,90+
163,39,47202,West,Loan,Personal Loan,2025-01-21,259716,0,27110,67635,Current,Current
164,48,143323,North,Current,Personal Loan,2017-01-23,49618,20,12917,338013,Delinquent,0-30
165,30,32638,West,Savings,Personal Loan,2018-09-11,736499,0,32412,98243,Current,Current
166,38,91672,North,Savings,Mortgage,2017-08-24,695477,10,28699,228866,Delinquent,0-30
167,24,122769,North,Loan,Mortgage,2023-12-06,651276,120,48030,303071,Charged-off,90+
168,32,110908,East,Savings,Credit Card,2024-08-31,103620,0,30501,360768,Current,Current
169,47,127091,West,Savings,Mortgage,2022-10-19,86401,0,47648,483230,Current,Current
170,49,136553,East,Loan,Auto Loan,2018-08-31,504517,120,13811,185536,Charged-off,90+
171,32,142414,East,Credit Card,Mortgage,2022-09-29,726947,0,26414,454642,Current,Current
172,31,46399,West,Savings,Mortgage,2018-12-14,642302,95,33950,77891,Charged-off,90+
173,24,50672,South,Loan,Mortgage,2020-05-04,312870,35,17832,131262,Delinquent,30-60
174,44,112319,South,Credit Card,Auto Loan,2020-06-10,151192,70,12120,22710,Charged-off,60-90
175,46,77113,West,Current,Personal Loan,2024-09-11,305501,10,20386,72625,Delinquent,0-30
176,48,125872,West,Loan,Mortgage,2017-05-16,374827,0,11529,419950,Current,Current
177,24,124190,North,Credit Card,Mortgage,2024-04-06,177609,35,18956,393842,Delinquent,30-60
178,56,43041,North,Loan,Mortgage,2017-04-12,463332,35,9384,417655,Delinquent,30-60
179,35,31235,North,Credit Card,Auto Loan,2017-06-20,13286,0,45683,328726,Current,Current
180,42,49409,North,Credit Card,Mortgage,2021-07-22,670703,0,27552,222082,Current,Current
181,44,35926,South,Credit Card,Personal Loan,2020-01-29,734763,0,3652,324744,Current,Current
182,44,126850,West,Credit Card,Auto Loan,2024-08-18,743256,50,38721,488862,Delinquent,30-60
183,57,179652,North,Savings,Personal Loan,2021-01-30,266815,35,21035,315977,Delinquent,30-60
184,25,85853,West,Savings,Personal Loan,2018-09-10,442137,0,40954,104168,Current,Current
185,26,105362,North,Loan,Mortgage,2021-08-14,541995,0,30211,480920,Current,Current
186,30,57166,West,Current,Mortgage,2018-11-10,155298,0,15394,143427,Current,Current
187,23,29837,South,Current,Auto Loan,2018-09-20,266477,10,20213,24775,Delinquent,0-30
188,58,78738,South,Savings,Credit Card,2024-06-19,762928,50,12718,61502,Delinquent,30-60
189,54,118701,North,Credit Card,Credit Card,2022-01-14,274629,0,30740,229655,Current,Current
190,26,180056,West,Loan,Credit Card,2021-02-25,706103,0,30932,405637,Current,Current
191,30,142736,West,Current,Credit Card,2017-10-24,583767,70,16144,471956,Charged-off,60-90
192,36,72456,East,Loan,Personal Loan,2024-09-04,637422,0,9032,398771,Current,Current
193,49,140210,West,Credit Card,Credit Card,2021-09-24,623080,0,49732,244410,Current,Current
194,23,92236,North,Credit Card,Auto Loan,2020-01-05,106875,50,29945,79574,Delinquent,30-60
195,31,100346,South,Loan,Personal Loan,2023-11-06,512185,0,26787,305410,Current,Current
196,57,118553,West,Current,Mortgage,2018-05-27,737520,50,38039,250115,Delinquent,30-60
197,24,196022,North,Current,Credit Card,2023-05-28,743550,0,2782,249654,Current,Current
198,24,34726,West,Current,Credit Card,2017-04-23,553558,20,44286,23857,Delinquent,0-30
199,44,121098,East,Credit Card,Credit Card,2020-07-29,242125,120,30052,329067,Charged-off,90+
200,48,198052,West,Credit Card,Credit Card,2022-05-07,285325,0,31317,196039,Current,Current
201,55,47329,West,Loan,Auto Loan,2021-01-20,338910,35,9661,427966,Delinquent,30-60
202,58,155732,South,Savings,Auto Loan,2019-07-05,609072,0,1213,90332,Current,Current
203,44,26015,South,Current,Personal Loan,2020-06-10,640518,35,29619,452640,Delinquent,30-60
204,42,63625,West,Loan,Mortgage,2017-06-10,279257,35,12356,128591,Delinquent,30-60
205,46,131549,South,Loan,Credit Card,2017-06-16,523390,0,31973,149407,Current,Current
206,38,117526,East,Loan,Mortgage,2023-11-27,32550,10,29350,495177,Delinquent,0-30
207,23,163402,West,Savings,Credit Card,2021-10-29,310491,50,5152,352784,Delinquent,30-60
208,31,90549,East,Loan,Personal Loan,2019-01-02,331790,50,9669,80185,Delinquent,30-60
209,29,144861,East,Credit Card,Auto Loan,2024-05-24,74466,0,14542,312810,Current,Current
210,53,195587,East,Savings,Mortgage,2018-09-25,797129,0,8171,394506,Current,Current
211,46,76681,West,Loan,Mortgage,2022-07-25,606088,20,2001,342347,Delinquent,0-30
212,56,142931,East,Credit Card,Personal Loan,2024-07-25,264803,10,15733,372895,Delinquent,0-30
213,24,119672,North,Savings,Credit Card,2020-07-08,53995,70,45840,22828,Charged-off,60-90
214,22,84719,East,Savings,Credit Card,2022-08-28,592101,50,22139,240120,Delinquent,30-60
215,28,191745,North,Current,Mortgage,2019-04-01,556686,35,23565,254774,Delinquent,30-60
216,27,80722,West,Savings,Mortgage,2025-01-19,24912,10,29161,322592,Delinquent,0-30
217,56,26536,North,Savings,Auto Loan,2019-06-28,60249,95,37213,60609,Charged-off,90+
218,54,163194,East,Current,Personal Loan,2019-05-16,19682,35,39747,408285,Delinquent,30-60
219,60,191467,North,Loan,Credit Card,2017-01-23,749626,120,31265,85351,Charged-off,90+
220,39,81883,North,Current,Personal Loan,2020-12-12,598611,10,3493,38070,Delinquent,0-30
221,49,141782,North,Credit Card,Personal Loan,2023-10-28,144944,120,44362,265373,Charged-off,90+
222,59,76532,West,Loan,Credit Card,2017-05-25,192889,120,14705,146837,Charged-off,90+
223,26,151916,West,Savings,Credit Card,2021-12-06,562843,35,14523,377190,Delinquent,30-60
224,30,75479,North,Current,Mortgage,2017-05-10,239685,0,37212,204100,Current,Current
225,61,156473,South,Savings,Credit Card,2018-03-12,478725,0,49699,433604,Current,Current
226,62,181308,West,Loan,Auto Loan,2017-06-18,548976,20,15019,409075,Delinquent,0-30
227,25,136892,East,Credit Card,Credit Card,2018-02-01,59471,0,45858,120930,Current,Current
228,44,41410,East,Savings,Personal Loan,2019-04-15,440371,0,39029,213593,Current,Current
229,61,64288,South,Savings,Credit Card,2019-02-13,290532,10,17176,161324,Delinquent,0-30
230,42,180000,South,Credit Card,Auto Loan,2021-01-16,159213,70,46770,391774,Charged-off,60-90
231,46,162875,South,Credit Card,Credit Card,2019-05-26,673235,0,45768,326092,Current,Current
232,57,152481,North,Savings,Credit Card,2021-06-21,419078,50,3407,51500,Delinquent,30-60
233,49,139093,South,Credit Card,Credit Card,2023-06-19,543390,70,37219,380564,Charged-off,60-90
234,56,27240,North,Credit Card,Auto Loan,2024-09-16,42544,70,23984,156721,Charged-off,60-90
235,40,71099,North,Credit Card,Credit Card,2017-03-21,297261,20,39293,321601,Delinquent,0-30
236,38,94533,North,Credit Card,Mortgage,2017-12-16,59646,0,4759,106994,Current,Current
237,60,37739,South,Credit Card,Personal Loan,2017-08-16,413593,35,38937,193246,Delinquent,30-60
238,61,66361,North,Credit Card,Auto Loan,2021-06-03,184983,20,41289,290126,Delinquent,0-30
239,35,62841,West,Current,Mortgage,2017-05-15,452880,0,31074,423240,Current,Current
240,35,163147,South,Credit Card,Personal Loan,2024-10-15,648703,70,47745,201146,Charged-off,60-90
241,44,63673,North,Current,Auto Loan,2019-12-05,710300,50,4084,266746,Delinquent,30-60
242,49,41026,West,Credit Card,Credit Card,2020-11-24,622831,0,33797,247978,Current,Current
243,37,185138,East,Current,Mortgage,2021-06-28,199474,20,14017,303946,Delinquent,0-30
244,45,119756,West,Savings,Mortgage,2021-09-16,404901,70,29513,260943,Charged-off,60-90
245,36,108626,West,Credit Card,Mortgage,2023-11-13,285070,0,24125,85493,Current,Current
246,37,79213,East,Current,Credit Card,2017-05-18,55350,20,30286,493695,Delinquent,0-30
247,41,70845,East,Loan,Credit Card,2017-08-29,362633,10,37596,53693,Delinquent,0-30
248,64,161929,South,Savings,Mortgage,2021-05-06,742223,70,35482,297824,Charged-off,60-90
249,47,159632,South,Credit Card,Credit Card,2024-09-05,369524,20,5983,493215,Delinquent,0-30
250,25,25906,West,Loan,Credit Card,2023-03-14,692747,20,23800,196604,Delinquent,0-30
251,42,118052,South,Savings,Mortgage,2022-06-01,173002,0,26333,430923,Current,Current
252,53,164397,East,Savings,Auto Loan,2024-10-20,289039,0,8062,158145,Current,Current
253,60,102508,South,Loan,Credit Card,2018-11-12,586892,10,18851,50168,Delinquent,0-30
254,22,76073,West,Credit Card,Mortgage,2019-04-14,775963,0,42882,38947,Current,Current
255,55,75650,East,Savings,Credit Card,2018-01-03,556430,35,21069,177165,Delinquent,30-60
256,63,113114,North,Savings,Mortgage,2023-08-01,299720,70,3144,61059,Charged-off,60-90
257,39,134293,East,Credit Card,Personal Loan,2021-10-19,481254,0,22820,288553,Current,Current
258,60,100722,East,Savings,Mortgage,2019-01-10,76347,50,44919,408887,Delinquent,30-60
259,47,97185,North,Credit Card,Personal Loan,2019-10-18,424479,120,5817,64814,Charged-off,90+
260,60,196701,West,Credit Card,Personal Loan,2021-07-04,94609,50,32250,337737,Delinquent,30-60
261,56,112725,North,Loan,Mortgage,2023-05-05,360288,10,5807,76738,Delinquent,0-30
262,59,75758,East,Loan,Auto Loan,2021-02-24,63417,70,7643,189965,Charged-off,60-90
263,22,74418,West,Loan,Personal Loan,2021-08-06,314498,0,40459,245960,Current,Current
264,61,116143,South,Loan,Credit Card,2018-11-18,453039,35,30759,91254,Delinquent,30-60
265,38,130899,South,Savings,Personal Loan,2019-07-25,375082,0,14430,389274,Current,Current
266,43,172226,South,Credit Card,Personal Loan,2018-02-02,743858,0,30166,89985,Current,Current
267,46,179413,West,Savings,Credit Card,2020-04-23,536693,0,5281,305287,Current,Current
268,31,76630,South,Credit Card,Personal Loan,2023-12-11,438216,0,28968,364286,Current,Current
269,21,36889,West,Credit Card,Personal Loan,2017-10-30,50894,0,5815,365258,Current,Current
270,56,143658,West,Loan,Mortgage,2021-10-13,685599,35,32150,251576,Delinquent,30-60
271,40,199381,West,Current,Auto Loan,2017-08-08,611203,70,3297,76711,Charged-off,60-90
272,51,141997,South,Credit Card,Credit Card,2023-08-13,520819,10,46295,101283,Delinquent,0-30
273,28,25826,East,Savings,Credit Card,2017-02-20,394213,20,4221,453894,Delinquent,0-30
274,60,145721,West,Credit Card,Auto Loan,2021-05-20,513935,95,18728,30952,Charged-off,90+
275,44,120234,North,Credit Card,Credit Card,2020-05-21,33134,20,23293,256807,Delinquent,0-30
276,40,42602,East,Current,Personal Loan,2023-10-25,207170,50,4752,353178,Delinquent,30-60
277,35,48060,West,Current,Mortgage,2018-08-14,297407,0,3103,464538,Current,Current
278,50,55593,South,Loan,Personal Loan,2023-07-02,516649,0,2850,388577,Current,Current
279,40,107790,West,Loan,Mortgage,2023-03-15,477372,0,27426,206811,Current,Current
280,58,128752,East,Credit Card,Auto Loan,2023-06-05,552312,70,38985,253583,Charged-off,60-90
281,22,73010,South,Current,Auto Loan,2019-03-03,390835,20,42894,388314,Delinquent,0-30
282,26,167375,North,Current,Credit Card,2018-05-22,235662,20,14033,240753,Delinquent,0-30
283,62,37938,South,Credit Card,Auto Loan,2022-08-04,730373,70,13911,241002,Charged-off,60-90
284,38,145461,South,Savings,Mortgage,2023-09-06,484674,70,11299,257768,Charged-off,60-90
285,56,68625,East,Current,Personal Loan,2020-05-09,33091,35,47096,191042,Delinquent,30-60
286,34,108584,South,Current,Credit Card,2019-03-26,211647,120,32534,80035,Charged-off,90+
287,46,72124,North,Current,Auto Loan,2024-12-18,198424,95,34214,63353,Charged-off,90+
288,54,143609,West,Credit Card,Personal Loan,2021-02-17,704453,0,7581,126742,Current,Current
289,50,131807,East,Loan,Personal Loan,2018-06-18,42294,0,38669,497777,Current,Current
290,27,183635,East,Current,Credit Card,2019-03-25,587013,0,32622,151652,Current,Current
291,50,172945,North,Savings,Auto Loan,2020-10-02,400772,50,5340,486090,Delinquent,30-60
292,38,166567,North,Current,Personal Loan,2022-03-25,407555,0,16741,192950,Current,Current
293,42,196012,North,Current,Personal Loan,2019-08-29,604043,0,3465,86662,Current,Current
294,37,83424,North,Credit Card,Personal Loan,2025-02-28,373838,0,14079,216889,Current,Current
295,51,56295,West,Savings,Credit Card,2017-02-19,59717,20,35075,78825,Delinquent,0-30
296,37,56276,East,Current,Mortgage,2017-02-21,308720,10,48533,262974,Delinquent,0-30
297,51,175602,North,Current,Credit Card,2017-01-17,731064,120,43260,150904,Charged-off,90+
298,33,96168,North,Credit Card,Mortgage,2017-10-30,308559,0,31767,237308,Current,Current
299,47,176808,North,Savings,Auto Loan,2021-06-14,578469,0,22382,466265,Current,Current
300,40,49978,North,Credit Card,Auto Loan,2022-10-23,678509,35,23297,101113,Delinquent,30-60
